scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
constant head boundary,Lagging Darcy with leakage,453,0.044028603923779996,0.2411678173558715,0.24471737688876588,0.9948461833836005,0.1068339773653841,0.22943190715144152,0.23248454730701212,1.0985582188029,0.044028603923779996,0.2411678173558715,0.24471737688876588,0.9948461833836005,0.06280537344160407,0.22699391489984913,0.22994958291201703,1.0319605118820467,0.01998123190015322,0.0057896931241347,0.0
constant head boundary,Hantush-Jacob leaky,10,1.0466055851462783,2.171853409127357,10.52740951102712,1.5385975509151355,-3.202149770397713,3.0768583125542266,113.69163837144743,0.03607295779705754,1.0466055851462783,2.171853409127357,10.52740951102712,1.5385975509151355,-4.248755355543992,4.812626852936975,107011.18201119939,0.033915577553699644,0.9966072532369668,0.8852479398261056,0.0
finite no-flow boundary,Lagging Darcy no-leakage,2165,-0.3821328592191916,0.9569638529404201,1.2242234420805231,0.954024829335546,0.0055220301301345,0.4623094672327274,0.4881478522714958,1.0599798900916,-0.3821328592191916,0.9569638529404201,1.2242234420805231,0.954024829335546,0.3876548893493261,0.5970549163083896,0.6544350335782372,1.1619275095329267,0.32779532160597985,0.1378788585191522,0.0
finite no-flow boundary,Theis confined,1268,0.09821767764602829,0.5474746960082625,0.5911788463508377,1.1056796842463448,-0.0006179478589403336,0.33512016360191693,0.3447530209239157,1.0182339386398342,0.09821767764602829,0.5474746960082625,0.5911788463508377,1.1056796842463448,-0.09883562550496863,0.30644741412319376,0.3137847978265082,0.9130815945307076,0.5510380848977786,0.4131475003650379,0.0
finite no-flow boundary,Lagging Darcy with leakage,140,-0.0925073639176514,0.13699735527901416,0.1376426767799165,0.9332307682301992,0.11939625413997008,0.12827713123337098,0.12880664550011622,1.1030914699796355,-0.0925073639176514,0.13699735527901416,0.1376426767799165,0.9332307682301992,0.21190361805762145,0.1277894995429622,0.12831298442326186,1.193787350215971,0.02656031522688528,0.0129100209071915,0.0
finite no-flow boundary,Hantush-Jacob leaky,7,3.1407353132696474,0.5080583641146093,0.5426770883161283,28.325378815303996,-6.060354172513966,1.3355607858006044,2.2253027019191665,0.0011165945905212051,3.1407353132696474,0.5080583641146093,0.5426770883161283,28.325378815303996,-9.201089485783614,1.7192702224069343,4.268351173107748,4.154591818734778e-05,1.804200287466921,1.2381278796650803,0.0
heterogeneous K,Lagging Darcy no-leakage,2067,-0.3713150308128082,1.0606096868717365,1.4421813338297813,0.9531407616958982,0.023705647952174575,0.5691109046202493,0.6184588776782172,1.1048814962731999,-0.3713150308128082,1.0606096868717365,1.4421813338297813,0.9531407616958982,0.39502067876498276,0.7127208550336367,0.813582063008039,1.2232792107669233,0.34638021446728556,0.1736604664710341,0.0
heterogeneous K,Theis confined,1238,0.09366627356400317,0.6608925936361655,0.7400770405297238,1.1261397633630603,0.04439180642639727,0.4455384142083382,0.46859096163160674,1.052635325675181,0.09366627356400317,0.6608925936361655,0.7400770405297238,1.1261397633630603,-0.049274467137605894,0.5281181699497259,0.5671744021269248,0.9292613555184196,0.5805597035200739,0.4300195708605602,0.0
heterogeneous K,Lagging Darcy with leakage,263,-0.33968012777668677,0.6671022826786936,0.7486854609797483,0.8199715125604734,0.11062851204553807,0.47204304265780056,0.49960125807501055,1.1187214279822997,-0.33968012777668677,0.6671022826786936,0.7486854609797483,0.8199715125604734,0.4503086398222249,0.5871649086323939,0.641603300565391,1.3882168656175773,0.030732145515520757,0.0083768038352965,0.0
heterogeneous K,Hantush-Jacob leaky,10,2.1011808576066384,1.4148804448706862,2.530416960245557,13.972995489326467,-4.6227954119271,2.1588024731461237,10.231388789091682,0.005510213700431294,2.1011808576066384,1.4148804448706862,2.530416960245557,13.972995489326467,-6.723976269533739,2.5800234485092646,27.87185165394619,0.0015066562947657239,1.3121547680723578,1.0601221337654732,0.0
