scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
heterogeneous storage,Theis confined,sparse3,291,128,0.5227137012231667,0.3621164998799992,0.2296851409270337,0.3883873150914571
heterogeneous storage,Theis confined,standard4,400,120,0.5436838792343266,0.2886248986614808,0.23053881307463858,0.34380571898114487
homogeneous confined,Hantush-Jacob leaky,dense5,96,70,0.7356200398054391,0.404362218370526,0.2123708556747164,0.22737920710842416
homogeneous confined,Hantush-Jacob leaky,far4,89,65,0.6715937385992063,0.4815373113007598,0.3623928144141748,0.1893913028472238
homogeneous confined,Hantush-Jacob leaky,mixed4,74,59,0.6724358254596243,0.6657948169271554,0.3114552791128014,0.31230727405811126
homogeneous confined,Hantush-Jacob leaky,near4,52,44,0.6136729021878733,0.14168495415994903,0.057980249356617705,0.14338572860846494
homogeneous confined,Hantush-Jacob leaky,sparse3,54,43,0.6232307417063789,0.31360043456154074,0.16540772080971905,0.16890262314932306
homogeneous confined,Hantush-Jacob leaky,standard4,85,61,0.6047599196182091,0.165405498633173,0.0872587687403365,0.1320627254463169
homogeneous confined,Lagging Darcy no-leakage,dense5,710,166,0.3076512531677936,0.11353844728304174,0.1037868492958014,0.2298251142250755
homogeneous confined,Lagging Darcy no-leakage,far4,522,166,0.29817069202441476,0.18221820476542586,0.06075320109458135,0.18311523106969524
homogeneous confined,Lagging Darcy no-leakage,mixed4,523,167,0.281880887152601,0.146788160902582,0.1096614139139473,0.2747120072866005
homogeneous confined,Lagging Darcy no-leakage,near4,622,167,0.2489569726087148,0.07171074885500335,0.0982598215083057,0.1821993213819751
homogeneous confined,Lagging Darcy no-leakage,sparse3,431,167,0.318564370103474,0.1502113147767197,0.0867809547719194,0.1998397079492963
homogeneous confined,Lagging Darcy no-leakage,standard4,616,167,0.2850221977361481,0.10104977626230036,0.06280224036327209,0.15425611790465185
homogeneous confined,Lagging Darcy with leakage,dense5,632,166,0.270470010381297,0.15265210600350088,0.10915059380832934,0.27978989659309283
homogeneous confined,Lagging Darcy with leakage,far4,432,162,0.2710007862635181,0.21772152296380545,0.0680001378962474,0.21301574019227695
homogeneous confined,Lagging Darcy with leakage,mixed4,467,166,0.205283744973957,0.1534489282819191,0.1132735908174547,0.2878758447157589
homogeneous confined,Lagging Darcy with leakage,near4,587,167,0.2276864118735501,0.1151494205299768,0.0938227964576635,0.2189828815747419
homogeneous confined,Lagging Darcy with leakage,sparse3,352,165,0.31258304927130354,0.20671271883043024,0.0915253118774529,0.23120811246649806
