scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
finite no-flow boundary,Lagging Darcy with leakage,standard4,497,165,0.3162120719830457,0.2487356131060663,0.0727537583699958,0.2980166776965225
finite no-flow boundary,Theis confined,dense5,420,121,0.5042357516664269,0.18988875864542987,0.05569651136884875,0.18680612802798474
finite no-flow boundary,Theis confined,far4,390,120,0.5361375987867756,0.24470915866509818,0.06455389720018145,0.19129916874255815
finite no-flow boundary,Theis confined,mixed4,346,126,0.5194396212550376,0.26625603111721385,0.10004142548967,0.21972671542641203
finite no-flow boundary,Theis confined,near4,371,124,0.492085268782145,0.1330587853062653,0.0378210431969456,0.15420318825904
finite no-flow boundary,Theis confined,sparse3,292,125,0.5271758345661012,0.2207674738057717,0.06924457137016216,0.2020881289047156
finite no-flow boundary,Theis confined,standard4,439,133,0.5344415530772643,0.1603306405931545,0.0418757805357786,0.1525366143731923
heterogeneous K,Hantush-Jacob leaky,dense5,74,55,0.6040349250478545,0.41814715618160025,0.22381666521526505,0.3717638119571815
heterogeneous K,Hantush-Jacob leaky,far4,92,62,0.5777799651405989,0.5509211863570354,0.3858889353874337,0.29069070624680104
heterogeneous K,Hantush-Jacob leaky,mixed4,88,62,0.6716019641383454,0.6104880709959373,0.5057158988874538,0.40006340975546745
heterogeneous K,Hantush-Jacob leaky,near4,45,35,0.7822544662644549,0.2806388488359168,0.1497087839513824,0.390498964193549
heterogeneous K,Hantush-Jacob leaky,sparse3,65,53,0.6231778878767152,0.6780339285558927,0.3105254325563372,0.3995106087011928
heterogeneous K,Hantush-Jacob leaky,standard4,96,73,0.6392980594492192,0.3979640527132027,0.23802368130528978,0.34838177275317883
heterogeneous K,Lagging Darcy no-leakage,dense5,720,167,0.2469433595744739,0.21590953613384445,0.16709173241971015,0.3092267350829553
heterogeneous K,Lagging Darcy no-leakage,far4,511,166,0.3374268169296391,0.295337167900895,0.2096030355508862,0.3734765353644704
heterogeneous K,Lagging Darcy no-leakage,mixed4,491,165,0.3214300262509134,0.3174397203687907,0.2090358531676992,0.4003246277974487
heterogeneous K,Lagging Darcy no-leakage,near4,594,163,0.26697849777664917,0.19746346910698503,0.14596598782237657,0.2999614406079607
heterogeneous K,Lagging Darcy no-leakage,sparse3,402,165,0.3024215674585071,0.27196789259904985,0.1779511456230921,0.3329218508779974
heterogeneous K,Lagging Darcy no-leakage,standard4,586,165,0.4002265905843895,0.2880248899801914,0.15506471415837494,0.39507979457419035
heterogeneous K,Lagging Darcy with leakage,dense5,652,168,0.19779731420460825,0.2734241291699052,0.16715523302943458,0.3394682144783827
heterogeneous K,Lagging Darcy with leakage,far4,449,159,0.2869151030339121,0.3992261421541024,0.2459416961046434,0.4093552921356757
heterogeneous K,Lagging Darcy with leakage,mixed4,475,165,0.281673610666442,0.4045083043429544,0.2209807417654977,0.4520490186815659
heterogeneous K,Lagging Darcy with leakage,near4,561,166,0.2132924368320211,0.2492150514299103,0.1374234582026153,0.3315232056630875
heterogeneous K,Lagging Darcy with leakage,sparse3,362,165,0.24961967415173583,0.2899006866053666,0.16387084914239264,0.3187752298287589
heterogeneous K,Lagging Darcy with leakage,standard4,500,167,0.3487872017491983,0.3213498246943941,0.1607409285596353,0.38299922465010083
heterogeneous K,Theis confined,dense5,417,118,0.5221483561082266,0.3084209299291895,0.1554589087955684,0.3129692815504868
heterogeneous K,Theis confined,far4,388,118,0.5683956636552538,0.3192402313426559,0.1843364200474667,0.3279685168290395
heterogeneous K,Theis confined,mixed4,378,136,0.5184630051586898,0.3103254720273956,0.18091946498803174,0.3107396815093648
heterogeneous K,Theis confined,near4,349,125,0.4289226632523592,0.2150195608956125,0.0858066895404307,0.2634065306601729
heterogeneous K,Theis confined,sparse3,300,121,0.5358228684448093,0.28374300293178045,0.1786380674097294,0.3296436488837229
heterogeneous K,Theis confined,standard4,414,129,0.5685117687331913,0.27103523749063896,0.13132063981119663,0.2835772518875618
heterogeneous boundary,Hantush-Jacob leaky,dense5,95,64,0.6316803064738643,0.5332143514376801,0.2671248186329944,0.3370662348550675
heterogeneous boundary,Hantush-Jacob leaky,far4,115,79,0.6095716191887637,0.6646827900300599,0.5673082503633498,0.3368951878622075
heterogeneous boundary,Hantush-Jacob leaky,mixed4,71,57,0.6206882190459909,0.5213309476943416,0.3043525767936365,0.3856676614170662
heterogeneous boundary,Hantush-Jacob leaky,near4,69,55,0.6522427289567709,0.3163231740336593,0.1636852774224581,0.3928088785382818
heterogeneous boundary,Hantush-Jacob leaky,sparse3,69,57,0.545909663194438,0.6990425726041174,0.4371063678111869,0.4796540591949278
heterogeneous boundary,Hantush-Jacob leaky,standard4,96,67,0.6415327868563373,0.28209743291617184,0.15532594501872896,0.22303173418182415
heterogeneous boundary,Lagging Darcy no-leakage,dense5,675,165,0.2942022805736522,0.2287192872814819,0.1560646991353697,0.326452499042198
heterogeneous boundary,Lagging Darcy no-leakage,far4,492,163,0.35144784626002223,0.339056622022313,0.1909736472466847,0.3886965898721455
heterogeneous boundary,Lagging Darcy no-leakage,mixed4,494,165,0.2902842872241558,0.2693724277919022,0.19422056433160115,0.3526141416550827
heterogeneous boundary,Lagging Darcy no-leakage,near4,597,162,0.2742315537425604,0.2008994890888082,0.1452719492993263,0.293054122952175
heterogeneous boundary,Lagging Darcy no-leakage,sparse3,383,161,0.3358694483834704,0.3114392837135071,0.2002626342987896,0.3769840853951434
heterogeneous boundary,Lagging Darcy no-leakage,standard4,586,167,0.32428787714743057,0.24064987438143856,0.17443773598994317,0.34785766300214466
heterogeneous boundary,Lagging Darcy with leakage,dense5,636,167,0.2361779187257207,0.31037492728679966,0.15526744373283607,0.37613064630426957
heterogeneous boundary,Lagging Darcy with leakage,far4,437,160,0.3113538371914671,0.4111144400102873,0.2348546256256902,0.3991320453299329
heterogeneous boundary,Lagging Darcy with leakage,mixed4,491,167,0.2439027951067771,0.3544913234756936,0.2089128699602919,0.4014734488385708
heterogeneous boundary,Lagging Darcy with leakage,near4,565,166,0.2292501773100212,0.2654060877966026,0.1349743827283129,0.3456106452644902
heterogeneous boundary,Lagging Darcy with leakage,sparse3,365,163,0.2713981517696963,0.4069044155468795,0.1887027250766712,0.4183265504264473
