excluded_well,pathway,pathway_short,distance_m,rmse_m,sd_eta,pred_S,pred_T_m2s,pred_B_m,pred_tau_q_s,pred_tau_s_s,preferred
MW-11,Hantush-Jacob leaky,Hantush leaky,12.357706052704296,0.9528924229470819,0.39338648279307786,0.0012519917072362583,3.176644597313147e-05,20067.022278210985,,,False
MW-11,Lagging Darcy no-leakage,"Lagging
without leakage",12.357706052704296,0.9374351787023824,0.3082486567049761,0.0014492309393952063,2.5205218642445464e-05,,532.0555811800792,1196.3519438783192,False
MW-11,Lagging Darcy with leakage,Lagging leaky,12.357706052704296,0.8797827718841863,0.3649264388976609,0.0013717296429056093,2.0230024998241457e-05,18349.33982147683,275.1457622823992,828.358139216688,True
MW-12,Theis confined,Theis,17.74299900921008,0.7421346960102861,0.5497277137377216,0.0014224397733245716,4.784786199763112e-05,,,,False
MW-12,Hantush-Jacob leaky,Hantush leaky,17.74299900921008,0.7348949894336682,0.6020674780454146,0.001457419343652106,4.300249986253626e-05,57310.31367685655,,,False
MW-12,Lagging Darcy no-leakage,"Lagging
without leakage",17.74299900921008,0.7223864020017464,0.5624959682909668,0.001624614778279575,3.1298058690971094e-05,,518.0203113698744,1158.328616770036,False
MW-12,Lagging Darcy with leakage,Lagging leaky,17.74299900921008,0.694688273622932,0.5627421665561402,0.001539955318258545,2.470960712682077e-05,50478.11307648925,243.32815899056658,848.998836328367,True
MW-13,Theis confined,Theis,36.57128860632061,0.09475821662224462,0.45020275988611824,0.0031045046942975705,7.922230632774558e-05,,,,False
MW-13,Hantush-Jacob leaky,Hantush leaky,36.57128860632061,0.08448646727119997,0.33605393774356473,0.0024802154830770163,9.0254823514755e-05,999999.9999999995,,,True
MW-13,Lagging Darcy no-leakage,"Lagging
without leakage",36.57128860632061,0.09296289510492063,0.4361673157758807,0.002786632775986734,5.405460126979428e-05,,529.8109239338353,1081.544853093872,False
MW-13,Lagging Darcy with leakage,Lagging leaky,36.57128860632061,0.08588561935946107,0.35698454837839677,0.00244879673992818,5.83236718814018e-05,999999.9999999995,186.0000700184898,638.7331893115997,False
