objective,model,well,objective_sse,success,nfev,boundary_hits,S,old_S,S_factor_refit_over_old,T,old_T,T_factor_refit_over_old,tau_q,old_tau_q,tau_q_factor_refit_over_old,tau_s,old_tau_s,tau_s_factor_refit_over_old
raw,Lagging Darcy,MW-02,0.0003827188834508207,True,17,,0.00022842187484139122,0.0002074,1.101359087952706,0.0001008805926197179,0.0001025,0.984200903607004,68916.34468856905,75210.0,0.916318902919413,7391.346390377453,7401.0,0.9986956344247335
raw,Darcy,MW-01,0.004310276183607125,True,7,,0.0012075149787044161,0.0013541,0.891747270293491,5.545488992062169e-05,2.9615e-05,1.872527095074175,,,,,,
raw,Lagging Darcy,MW-01,0.0016886868235584207,True,41,S:upper,0.9999999999225601,0.004094,244.2598925067318,2.5854650202377674e-05,2.771e-05,0.9330440347303383,33035.6858846256,21820.0,1.5140094355923739,35744793.75312662,100000.0,357.44793753126623
log_response,Darcy,MW-13,2.2338633667886354,True,14,,0.0008407248659553869,0.00069527,1.2092063025233173,8.419079036159577e-05,3.6597e-05,2.300483382834543,,,,,,
log_response,Lagging Darcy,MW-13,0.027527279153624656,True,5,,0.000845523577460943,0.0001574,5.371814342191506,3.147033813035126e-05,8.085e-05,0.3892435142900589,250.2644447582678,100000.0,0.002502644447582678,1255.193701492417,13630.0,0.09209051368249574
log_response,Darcy,MW-12,0.1361886847338782,True,23,,0.00016287119630158597,0.00054912,0.2966040142438556,2.5155735059865913e-05,2.4928e-05,1.009135713248793,,,,,,
log_response,Lagging Darcy,MW-12,0.039846030979412514,True,47,,1.7762601038126838e-05,3.276e-05,0.5422039388927606,4.357176773310964e-05,4.056e-05,1.0742546285283443,29957.646909868785,12900.0,2.3222982100673475,2514.130028770348,1837.0,1.3686064391781971
log_response,Darcy,MW-10,5.151398017353676,True,12,,0.0027610623722399584,0.034266,0.08057731781474227,3.0272414158022866e-05,0.00012928,0.23416161941539962,,,,,,
log_response,Lagging Darcy,MW-10,0.008383231624195088,True,10,,0.003549141352664677,0.003396,1.0450946268152759,1.0796974668976063e-05,1.167e-05,0.9251906314461066,126.1589238938555,100.0,1.261589238938555,935.9946015484111,909.7,1.0289046955572287
log_response,Darcy,MW-08,0.15342932924496294,True,12,,0.00015483462330680893,7.2206e-05,2.1443456680443305,2.41603564618921e-05,3.0047e-05,0.8040854814754252,,,,,,
log_response,Lagging Darcy,MW-08,0.01595281258366928,True,26,S:upper,0.9999999998243113,0.00265,377.3584904997401,1.421430537460253e-05,1.544e-05,0.9206156330701121,11407.303644699336,7126.0,1.600800399200019,39778705.99139657,100000.0,397.78705991396566
log_response,Darcy,MW-11,0.2521538279954834,True,8,,0.0002002484064627775,0.0011922,0.16796544746080985,1.799479925924694e-05,1.9064e-05,0.9439151940435868,,,,,,
log_response,Lagging Darcy,MW-11,0.0925693296387185,True,42,S:upper,0.9999999999827839,0.002192,456.20437955418976,1.2755123526319455e-05,1e-05,1.2755123526319454,18278.953411647333,6677.0,2.7375997321622485,92884508.01350494,100000.0,928.8450801350493
log_response,Darcy,MW-05,1.137643354440995,True,9,,0.0025057890466860583,0.0029989,0.8355693910053881,8.165611228054258e-05,4.3503e-05,1.8770225566177636,,,,,,
log_response,Lagging Darcy,MW-05,0.01087989504765407,True,12,,0.002932041371997658,0.0003485,8.413318140595862,4.058733351478732e-05,0.0001016,0.3994816290825523,291.0310866882028,100000.0,0.0029103108668820277,1036.922181671863,8870.0,0.1169021625334682
log_response,Darcy,MW-06,0.4685232064782205,True,13,,0.002280237492046689,0.0049084,0.4645582047198046,6.810713184505242e-05,6.4808e-05,1.0509062437515804,,,,,,
