scenario_class,pathway,response_count,mu_lnM_T,sigma_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sigma_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sigma_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sigma_lnM_response_time,cov_M_response_time,median_M_response_time,median_response_cov,median_sd_eta,boundary_hit_fraction
constant head boundary,Lagging Darcy no-leakage,8,0.15403220425764663,0.14426729468563612,0.1450212204627006,1.0819976557962956,0.08376560308354482,0.0805195342114119,0.08065022065799962,1.038826904328205,0.15403220425764663,0.14426729468563612,0.1450212204627006,1.0819976557962956,-0.07026660117410176,0.0647341606647553,0.0648020372201766,0.9582618690968988,0.00622610980916744,0.006226049472514464,0.0
constant head boundary,Lagging Darcy with leakage,8,0.08940161527972536,0.05971002646380595,0.05976328686487405,1.0704754191278358,0.05100924319483591,0.033449916869126725,0.033459275802979145,1.0388269162303239,0.08940161527972536,0.05971002646380595,0.05976328686487405,1.0704754191278358,-0.0383923720848895,0.02680637015163487,0.02681118651292511,0.9702317570083342,0.0025752727567154537,0.002575268462677123,0.0
heterogeneous K,Theis confined,12,0.12200375438145526,0.18349890697367305,0.18505448470147234,1.1935380662838817,0.12246275106423059,0.17692806002115388,0.17832175103622888,1.1304345102011046,0.12200375438145526,0.18349890697367305,0.18505448470147234,1.1935380662838817,0.00045899668277533484,0.19980726203158541,0.20181817174069536,1.047962288577991,0.044627026577570034,0.044604439172616056,0.0
heterogeneous K,Hantush-Jacob leaky,12,0.11532026394103463,0.18813957837688713,0.1898167917153344,1.1829584991153757,0.11938018062189738,0.17988531814150582,0.1813503911225631,1.1304304094126048,0.11532026394103463,0.18813957837688713,0.1898167917153344,1.1829584991153757,0.004059916680862728,0.19855310553657526,0.20052617988194593,1.0483074605610803,0.04463049239241246,0.044607900269858385,1.0
heterogeneous K,Lagging Darcy no-leakage,12,-0.03270826085191704,0.15619692278258354,0.15715448573046098,1.0012556511407866,0.13092088973302168,0.1548738963863253,0.15580725226435038,1.1358644622803387,-0.03270826085191704,0.15619692278258354,0.15715448573046098,1.0012556511407866,0.16362915058493865,0.16396532957978813,0.1650735637899808,1.2029856106812569,0.005621847722932886,0.005621799929685811,0.0
heterogeneous K,Lagging Darcy with leakage,12,-0.06900969561604729,0.19909048781545904,0.2010797147605201,1.0012572193409492,0.11420327308688827,0.15876370593926176,0.15976942552457293,1.1044056957920125,-0.06900969561604729,0.19909048781545904,0.2010797147605201,1.0012572193409492,0.18321296870293557,0.1845359843428858,0.18611821250244132,1.2029891244006579,0.004655622866990849,0.004655597621907288,0.08333333333333333
heterogeneous leakage boundary,Theis confined,8,0.7422944091089754,0.309259361432124,0.31680333085392465,2.097787950938625,0.250438138420466,0.29478597734001705,0.3013075778904052,1.2178743231352902,0.7422944091089754,0.309259361432124,0.31680333085392465,2.097787950938625,-0.4918562706885093,0.17031191613905752,0.17155443508949425,0.614903890247805,0.03987926439005421,0.03986292719209035,0.0
heterogeneous leakage boundary,Hantush-Jacob leaky,8,0.634739224326156,0.23103104036018984,0.23414843737234214,1.883704182623318,0.1856753892898613,0.2397657049535623,0.24325322138168562,1.1638572552872437,0.634739224326156,0.23103104036018984,0.23414843737234214,1.883704182623318,-0.44906383503629477,0.1693869643601438,0.17060926873688737,0.6657748759101599,0.025657290130083367,0.025652968759789587,0.375
heterogeneous leakage boundary,Lagging Darcy no-leakage,8,0.9245396209725171,0.7178687327567301,0.8210969071710507,1.969074728880282,-0.04886024206498951,0.45402402324940194,0.4784585192831508,1.0960876665228543,0.9245396209725171,0.7178687327567301,0.8210969071710507,1.969074728880282,-0.9733998630375065,1.1036156891919933,1.5428255145836354,0.6031621349314776,0.02176899423108037,0.021766225950699547,0.0
heterogeneous leakage boundary,Lagging Darcy with leakage,8,0.3838993176326615,0.21108253878805122,0.2134557505356129,1.4941400034357613,0.11679765417347611,0.2161308683938861,0.218679610588702,1.1735302502895022,0.3838993176326615,0.21108253878805122,0.2134557505356129,1.4941400034357613,-0.26710166345918535,0.1527775199682986,0.15367336415509028,0.7687035111204725,0.002185822907798011,0.0021858201002016783,0.0
