well,pathway,n_points,n_valid_points,rmse_m,mae_m,sd_eta,mean_eta,aic,bic,boundary_hit_flag,validity_note,S,T_m2s,B_m,tau_q_s,tau_s_s,fit_nfev,fit_data_score,bic_theis,bic_lagging,delta_bic_minus_theis,delta_bic_minus_lagging
MW-08,Theis confined,43,43,0.10764679766464631,0.09066160214736445,0.061000099808497174,-2.997535017275376e-07,-187.68538308138827,-184.16298285000113,False,infinite line source confined fit,0.0001581962868733425,2.4036238215348633e-05,,,,,,-184.16298285000113,-148.39973686684525,0.0,-35.76324598315588
MW-08,Hantush-Jacob leaky,43,43,0.030804036816837785,0.026200387562117858,0.01903691762841921,1.1729251879893125e-07,-293.2894197613905,-288.0058194143098,False,conventional Hantush-Jacob leaky fit,0.0002981122918764,1.381067162792918e-05,22.57968238430263,,,7.0,,-184.16298285000113,-148.39973686684525,-103.8428365643087,-139.60608254746458
MW-08,Lagging Darcy no-leakage,43,43,0.14949118128883482,0.12538406825899967,0.08103901976472482,0.013396418760243344,-155.4445373296195,-148.39973686684525,False,finite radius lagging Darcy limit without leakage,0.0003208130400091,1.959308303916298e-05,,878.4725873559078,1429.878012729459,,,-184.16298285000113,-148.39973686684525,35.76324598315588,0.0
MW-08,Lagging Darcy with leakage,43,43,0.030161117582265244,0.025820927226134546,0.017864091261490373,9.592669574504391e-05,-291.1033446016049,-282.29734402313704,False,formal Lin and Yeh lagging leaky finite radius fit,0.0003473858462831587,1.2264696227731939e-05,18.787051585617007,724.4962345670223,984.2875746454353,17.0,0.013403677460183113,-184.16298285000113,-148.39973686684525,-98.13436117313591,-133.8976071562918
MW-10,Theis confined,47,47,0.10453187905465033,0.081930520486026,0.2987744157212305,0.011730867708122867,-208.27673998929853,-204.5764447858784,False,infinite line source confined fit,0.002916614265507099,2.575575191395394e-05,,,,,,-204.5764447858784,-347.5168410770497,0.0,142.9403962911713
MW-10,Hantush-Jacob leaky,47,47,0.10453107209615133,0.08192986952801726,0.29877438556596264,0.011731624157394625,-206.27746564727371,-200.72702284214353,False,conventional Hantush-Jacob leaky fit,0.0029166204052592,2.575560588180641e-05,254596.7067144533,,,8.0,,-204.5764447858784,-347.5168410770497,3.849421943734882,146.7898182349062
MW-10,Lagging Darcy no-leakage,47,47,0.021050652132016526,0.01546631880649987,0.053902353714726105,0.002959618911102576,-354.91743148388997,-347.5168410770497,False,finite radius lagging Darcy limit without leakage,0.0035903133867812,1.223869377109961e-05,,235.0692323331452,1040.862249504757,,,-204.5764447858784,-347.5168410770497,-142.9403962911713,0.0
MW-10,Lagging Darcy with leakage,47,47,0.010127504926543456,0.0059616862578068825,0.0135826191380652,4.124419213351179e-05,-421.69502786493376,-412.4442898563835,False,formal Lin and Yeh lagging leaky finite radius fit,0.003552257351334387,1.0752153643226129e-05,254596.89718102384,132.90452382261773,954.3343451133239,8.0,0.008486506912806894,-204.5764447858784,-347.5168410770497,-207.86784507050507,-64.92744877933376
MW-11,Theis confined,39,39,0.12235136597935925,0.09710545186957144,0.08206812666826718,-4.022983522912933e-06,-159.86694932137578,-156.53982602911648,False,infinite line source confined fit,0.00020343994880263601,1.785730475403275e-05,,,,,,-156.53982602911648,-147.62425633147043,0.0,-8.915569697646049
MW-11,Hantush-Jacob leaky,39,39,0.04911668514986597,0.042854851936661456,0.04846785022989788,6.316466078703032e-06,-229.0574056080468,-224.06672066965785,False,conventional Hantush-Jacob leaky fit,0.0001997351685529,1.2372795177015155e-05,32.735298640815145,,,7.0,,-156.53982602911648,-147.62425633147043,-67.52689464054137,-76.44246433818742
MW-11,Lagging Darcy no-leakage,39,39,0.12486855847495357,0.10169569527453085,0.08349561975660237,0.01813446122803317,-154.278502915989,-147.62425633147043,False,finite radius lagging Darcy limit without leakage,0.0002151691966907,1.770005369352165e-05,,982.0304801347924,1022.445807415356,,,-156.53982602911648,-147.62425633147043,8.915569697646049,0.0
MW-11,Lagging Darcy with leakage,39,39,0.025714263909780006,0.022167494272359346,0.01981185754081293,0.0002759703890861014,-275.53533515784676,-267.21752692719855,False,formal Lin and Yeh lagging leaky finite radius fit,0.00022867823617245397,5.96144126147893e-06,14.788043933791819,231.23379019158398,696.8243829647922,26.0,0.014918338796834156,-156.53982602911648,-147.62425633147043,-110.67770089808207,-119.59327059572811
MW-12,Theis confined,44,44,0.036309621293559635,0.031472133747594166,0.054862564076925954,3.7295052877925686e-05,-287.7791820610801,-284.2108027932436,False,infinite line source confined fit,0.00016521696004980678,2.4939820867403872e-05,,,,,,-284.2108027932436,-245.20069593039602,0.0,-39.01010686284758
MW-12,Hantush-Jacob leaky,44,44,0.036309621186678624,0.03147213367118996,0.05486256410183345,3.7295071907705174e-05,-285.77918232011694,-280.42661341836214,True,conventional Hantush-Jacob leaky fit,0.0001652169599121,2.493982085721241e-05,999999.9505291092,,,5.0,,-284.2108027932436,-245.20069593039602,3.784189374881464,-35.225917487966115
MW-12,Lagging Darcy no-leakage,44,44,0.051902923319887634,0.04385042506991738,0.05270203247695128,0.014729148937892829,-252.33745446606906,-245.20069593039602,False,finite radius lagging Darcy limit without leakage,0.0002221185797629,2.103515541949877e-05,,744.7424644240206,1246.607292753352,,,-284.2108027932436,-245.20069593039602,39.01010686284758,0.0
MW-12,Lagging Darcy with leakage,44,44,0.04318048276005739,0.03428802560343738,0.04119613981444194,1.1717518889191503e-05,-266.52826729269606,-257.60731912310473,True,formal Lin and Yeh lagging leaky finite radius fit,0.00019293056344331312,2.248276326682364e-05,999953.9464019607,265.3453556505315,415.31262249429335,16.0,0.07297624927248604,-284.2108027932436,-245.20069593039602,26.60348367013887,-12.406623192708707
MW-13,Theis confined,30,30,0.02405041271224081,0.015331269838941071,0.2400675273128705,0.027258225889806354,-219.6561873191285,-216.85379255580418,False,infinite line source confined fit,0.0008290440354321655,7.90330964405873e-05,,,,,,-216.85379255580418,-306.97799416388045,0.0,90.12420160807628
MW-13,Hantush-Jacob leaky,30,30,0.024049871225396275,0.015330921521077722,0.24006727632117583,0.027260364640664555,-217.65753821388475,-213.4539460688983,True,conventional Hantush-Jacob leaky fit,0.0008290443484679,7.903184784062489e-05,999963.021858744,,,6.0,,-216.85379255580418,-306.97799416388045,3.3998464869058864,93.52404809498216
MW-13,Lagging Darcy no-leakage,30,30,0.0047812828260106015,0.0032689471905887964,0.04881375725623903,0.007024616863502022,-312.5827836905291,-306.97799416388045,False,finite radius lagging Darcy limit without leakage,0.0008742923489341,3.51123788961532e-05,,330.9945713280311,1335.563586807421,,,-216.85379255580418,-306.97799416388045,-90.12420160807628,0.0
MW-13,Lagging Darcy with leakage,30,30,0.00345244263291024,0.0023902295108315904,0.03081231832171189,8.074318710566154e-05,-330.1203973352109,-323.1144104269001,True,formal Lin and Yeh lagging leaky finite radius fit,0.0008457749658286253,3.1471165600746844e-05,999964.8634525212,251.4993079710341,1258.2558428362943,5.0,0.027532765434264486,-216.85379255580418,-306.97799416388045,-106.26061787109595,-16.13641626301967
