scenario_class,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
finite no-flow boundary,Theis confined,2258,0.22560398862330674,0.6444005058030775,0.7174624925396329,1.1538927948167281,0.03183481388512213,0.3312514266469415,0.3405494599462854,1.0228233646423635,0.22560398862330674,0.6444005058030775,0.7174624925396329,1.1538927948167281,-0.19376917473818464,0.45888303592721386,0.4841342281574104,0.8743394462996392,0.681280538682176,0.5150675216938166,0.0
finite no-flow boundary,Hantush-Jacob leaky,451,-0.6931943197104629,1.2257076348118674,1.8687629010311202,0.729831887897624,-0.6117024483354372,1.1339421011786013,1.6179153757276563,0.8569632716941,-0.6931943197104629,1.2257076348118674,1.8687629010311202,0.729831887897624,0.08149187137502556,1.2388977821118634,1.9080648811282033,1.1713673302897099,0.8162675836403079,0.6459465434902767,0.0
constant head boundary,Lagging Darcy no-leakage,3164,-0.2120016051712827,1.0223704543254049,1.3579708571914213,0.9777275543806314,0.04101349278942742,0.4773379884997613,0.5058644878006691,1.0830712646517962,-0.2120016051712827,1.0223704543254049,1.3579708571914213,0.9777275543806314,0.25301509796071014,0.688077493759671,0.7781546950960954,1.1338122638162993,0.4288598030340286,0.3253690889348627,0.0
constant head boundary,Lagging Darcy with leakage,3005,-0.7408177792811557,1.750699398676247,4.5203269423576735,0.9430984316983776,-0.374134344622246,1.103495529210796,1.5425349938252584,1.0382659961888,-0.7408177792811557,1.750699398676247,4.5203269423576735,0.9430984316983776,0.3666834346589096,0.9473484447897684,1.205564562012198,1.156766288543634,0.37006202147090245,0.2572377858185617,0.0
constant head boundary,Theis confined,2312,0.34430718865390997,0.6666919317805439,0.7481149899854974,1.224467743071581,0.09977726633641053,0.34145067949686725,0.351649007481372,1.04544426072381,0.34430718865390997,0.6666919317805439,0.7481149899854974,1.224467743071581,-0.2445299223174995,0.47550539836571687,0.5036941322871686,0.8413718858595635,0.684608679240803,0.5226948058448275,0.0
constant head boundary,Hantush-Jacob leaky,584,-0.4630339927278179,1.2646395828759642,1.9873681638650338,0.8349576942660644,-0.4494343065413654,1.0949288862142423,1.5219608650975203,0.9356609224385792,-0.4630339927278179,1.2646395828759642,1.9873681638650338,0.8349576942660644,0.013599686186452471,1.0453165646150553,1.4079331871351624,1.0652844805549577,0.7424315302225699,0.592995882531806,0.0
heterogeneous K,Theis confined,2246,0.24407228147340645,0.7407957399801786,0.8550654037734245,1.2066849430218365,0.06248176483620448,0.4474057426568422,0.4707576165980021,1.0541303055543572,0.24407228147340645,0.7407957399801786,0.8550654037734245,1.2066849430218365,-0.18159051663720197,0.6083876205863564,0.6692763192292126,0.8639894610566006,0.6940186688155568,0.5308248553890247,0.0
heterogeneous K,Lagging Darcy no-leakage,3304,-0.29780332761662576,1.0854941628428239,1.4996128155443007,0.946364600878385,0.02308672219235604,0.5708869739439542,0.6207200419167815,1.0974958502635603,-0.29780332761662576,1.0854941628428239,1.4996128155443007,0.946364600878385,0.3208900498089818,0.7655132730877646,0.8926398315368955,1.1993602420172729,0.4191560514178601,0.30940901052380987,0.0
heterogeneous K,Lagging Darcy with leakage,2999,-0.7069748264640104,1.6915099021287725,4.059876088425782,0.9084424942806898,-0.32363953826767405,1.1007773732935475,1.5359774706318032,1.045385652658899,-0.7069748264640104,1.6915099021287725,4.059876088425782,0.9084424942806898,0.3833352881963364,1.0349416833260596,1.3851356238571233,1.2318648520635473,0.37630751140474833,0.2583642668875837,0.0
heterogeneous K,Hantush-Jacob leaky,460,-0.697009304558339,1.286471771033377,2.0574572297944984,0.6639795097087269,-0.5724926720352975,1.25087507233217,1.944526962853486,0.8810822680818013,-0.697009304558339,1.286471771033377,2.0574572297944984,0.6639795097087269,0.12451663252304146,1.2962116136725914,2.089602577562246,1.2845415146398478,0.7950727722325628,0.6399919864458372,0.0
anisotropic heterogeneous K,Lagging Darcy no-leakage,3247,-0.3386058843205965,1.1287238656100202,1.6047390112836655,0.9316646744514553,0.05954651888778715,0.6529100884341437,0.7290866134444456,1.1396519542791987,-0.3386058843205965,1.1287238656100202,1.6047390112836655,0.9316646744514553,0.3981524032083837,0.8470093748081067,1.0242800430300363,1.3407122318315274,0.420446579222067,0.3047146989863238,0.0
anisotropic heterogeneous K,Theis confined,2218,0.25100581082118595,0.7115120457228697,0.811823279662015,1.200423880698084,0.12718120606973893,0.5255707763744188,0.5640424983239684,1.108389552506908,0.25100581082118595,0.7115120457228697,0.811823279662015,1.200423880698084,-0.12382460475144703,0.6493247032054834,0.7241774986959474,0.8975258835301173,0.6948103042787018,0.5379351945508744,0.0
anisotropic heterogeneous K,Hantush-Jacob leaky,454,-0.7496739105386413,1.466858855950761,2.756673584767937,0.6773801857684487,-0.6325844928729966,1.4419106859839257,2.6452447006954465,0.8277833578153387,-0.7496739105386413,1.466858855950761,2.756673584767937,0.6773801857684487,0.11708941766564475,1.6988201069348714,4.113550355383456,1.4241802358924889,0.8152449903455734,0.63483042324073,0.0
anisotropic heterogeneous K,Lagging Darcy with leakage,2961,-0.7821435971609346,1.7929084756081275,4.887879004231634,0.8880482382761317,-0.33739006274450833,1.1984576155355329,1.7902823400453214,1.0186071607560998,-0.7821435971609346,1.7929084756081275,4.887879004231634,0.8880482382761317,0.44475353441642634,1.2069731638690102,1.8144240802944305,1.3875290724725013,0.37571130957024673,0.262846219054072,0.0
heterogeneous storage,Lagging Darcy with leakage,3044,-0.6540985327698007,1.6677091814561604,3.8909183350371648,0.9331353330691113,-0.3336024900558431,1.1355285024235477,1.6219427334626029,0.996832099540381,-0.6540985327698007,1.6677091814561604,3.8909183350371648,0.9331353330691113,0.32049604271395765,1.1717986783351717,1.7168625877982253,1.2364022197929578,0.36953299106795157,0.2460488595973559,0.0
heterogeneous storage,Theis confined,2252,0.3051464944541066,0.746158139863002,0.8631312110491548,1.2709842141356176,0.09226181412151536,0.5085425899177265,0.5432640376093892,1.087492597225058,0.3051464944541066,0.746158139863002,0.8631312110491548,1.2709842141356176,-0.21288468033259125,0.6657547207027518,0.7468129322322279,0.8462001994485933,0.6915522610770809,0.5304260379099752,0.0
heterogeneous storage,Lagging Darcy no-leakage,3257,-0.2714978177354548,1.087138711728492,1.5034851055511518,0.9678502606321956,0.03412980386099967,0.6217641860135709,0.686989011309369,1.103877560138183,-0.2714978177354548,1.087138711728492,1.5034851055511518,0.9678502606321956,0.30562762159645446,0.8474161152283549,1.0249694383119796,1.2238876398308225,0.410332027592448,0.3062452198470122,0.0
heterogeneous storage,Hantush-Jacob leaky,464,-0.7297986162432619,1.4529744862715797,2.6939946508292794,0.6984945854885305,-0.6358329468455891,1.2882910103234577,2.063419566558099,0.7889290864717472,-0.7297986162432619,1.4529744862715797,2.6939946508292794,0.6984945854885305,0.09396566939767287,1.3695655432372211,2.3506273826671746,1.2159453567282037,0.796818391676187,0.6256759808761425,0.0
