scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit
mf6_homogeneous_00,homogeneous confined,R100N,100.0,Theis confined,5e-05,0.001,6.404492420514733e-05,0.00106752635998666,,,,0.24756177239180222,0.06534415901170486,0.24756177239180222,-0.18221761338009715,0.006363307369459005,0.03697355177122122,0.03698619148442119,0.002643640456308383,-180.83410173140626,-178.16969271105586,2,False
mf6_homogeneous_00,homogeneous confined,R100N,100.0,Hantush-Jacob leaky,5e-05,0.001,6.404454848160687e-05,0.001067522691929316,,,99999.99996911397,0.24755590581225295,0.06534072297135667,0.24755590581225295,-0.18221518284089624,0.006363431863210777,0.036974480512210396,0.036987121178109685,0.002643820469683957,-178.83270435150274,-174.83609082097712,3,True
mf6_homogeneous_00,homogeneous confined,R100N,100.0,Lagging Darcy no-leakage,5e-05,0.001,5.3434939610672434e-05,0.0010383011136246376,1606.4617457677314,2338.729488886636,,0.06644182640252333,0.03758583287281721,0.06644182640252333,-0.028855993529706195,0.00022590720969104647,0.0025908479206065028,0.0025908522683800684,0.00022259386046423002,-326.32151975921863,-320.9927017185178,4,False
mf6_homogeneous_00,homogeneous confined,R100N,100.0,Lagging Darcy with leakage,5e-05,0.001,5.343490515830571e-05,0.0010383009447371115,1606.4999223997547,2338.7738074841136,89253.20099564112,0.06644118164877075,0.0375856702152435,0.06644118164877075,-0.028855511433527336,0.0002259850509522494,0.002590859499446584,0.002590863847256509,0.0002226016734463549,-324.321120473846,-317.66009792297,5,False
mf6_leakage_00,vertical leakage,R20E,20.0,Theis confined,5e-05,0.001,6.791124239762055e-05,0.0010061745287612345,,,,0.30617858829711225,0.006155544464502574,0.30617858829711225,-0.30002304383260964,0.03060764801391334,0.11217071769177873,0.11252448490438914,0.014115781064791126,-117.44877680668242,-114.78436778633201,2,False
mf6_leakage_00,vertical leakage,R20E,20.0,Hantush-Jacob leaky,5e-05,0.001,6.587077041517846e-05,0.0009916784473770711,,,99999.99999998421,0.2756717931508728,-0.008356370033108908,0.2756717931508728,-0.28402816318398183,0.031837410755642864,0.1137762495303275,0.1141454538604907,0.012648640400454715,-114.54944327401279,-110.55282974348718,3,True
mf6_leakage_00,vertical leakage,R20E,20.0,Lagging Darcy no-leakage,5e-05,0.001,6.063685694852988e-05,0.0010739682516298713,0.18732175919210162,41.619411171855255,,0.19287990323896484,0.07136043478370022,0.19287990323896484,-0.12151946845526482,0.001956718329395124,0.0386846147427677,0.0386990921318596,0.018198944773929384,-175.07364742479754,-169.74482938409673,4,False
mf6_leakage_00,vertical leakage,R20E,20.0,Lagging Darcy with leakage,5e-05,0.001,5.331340460247864e-05,0.0010288552915840939,6.234181201021096,59.48345232050566,91.77995264608468,0.06416478760436829,0.028446816820772856,0.06416478760436829,-0.035717970783595336,0.0007337879791316269,0.009358415185506948,0.009358620091590301,0.0014750563943797667,-252.44318186784324,-245.7821593169672,5,False
mf6_leakage_00,vertical leakage,R50E,50.0,Theis confined,5e-05,0.001,8.002230290745286e-05,0.0012311297820339962,,,,0.4702823767352048,0.2079322697800078,0.4702823767352048,-0.2623501069551969,0.005486223364231135,0.04098758800363052,0.041004808636509384,0.006255713514472383,-175.39405426298202,-172.72964524263162,2,False
mf6_leakage_00,vertical leakage,R50E,50.0,Hantush-Jacob leaky,5e-05,0.001,7.415513475003387e-05,0.001172768968100757,,,176.13645907440457,0.3941363089043603,0.15936759213166438,0.3941363089043603,-0.23476871677269592,0.006716713227155499,0.036846868693775445,0.03685937890428684,0.0033467647917236323,-178.92482474270733,-174.9282112121817,3,False
