scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_vertical_leakage_00233,vertical leakage,standard4,5.0,5.0,1205.0,0.0,0.0,26.70846094583178,none,50.0,220.45407685048679,100.0,26.70846094583178,597.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00234,vertical leakage,mixed4,1.0,7.5,805.0,0.0,0.0,48.08888649207217,none,100.0,98.59006035093006,200.0,48.08888649207217,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00235,vertical leakage,dense5,2.0,5.0,605.0,0.0,0.0,141.36402014404823,none,139.4274004634673,139.4274004634673,200.0,141.36402014404823,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00236,vertical leakage,standard4,1.0,7.5,1205.0,0.0,0.0,26.80043023281756,none,50.0,98.5900603509301,100.0,26.80043023281756,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00237,vertical leakage,mixed4,10.0,10.0,805.0,0.0,0.0,127.16977286718227,none,127.16977286718227,311.7691453623984,200.0,127.16977286718227,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00238,vertical leakage,mixed4,5.0,7.5,605.0,0.0,0.0,44.51365803960137,none,100.0,220.4540768504864,200.0,44.51365803960137,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00239,vertical leakage,standard4,5.0,10.0,1005.0,0.0,0.0,36.65668296716262,none,50.0,220.4540768504865,100.0,36.65668296716262,492.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00240,vertical leakage,dense5,10.0,7.5,605.0,0.0,0.0,84.54591425294076,none,100.0,311.7691453623984,200.0,84.54591425294076,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00241,vertical leakage,dense5,5.0,7.5,605.0,0.0,0.0,62.0906361788194,none,100.0,220.4540768504864,200.0,62.0906361788194,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00242,vertical leakage,far4,10.0,5.0,1005.0,0.0,0.0,76.63472173460251,none,100.0,311.7691453623987,200.0,76.63472173460251,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00243,vertical leakage,mixed4,5.0,5.0,1005.0,0.0,0.0,138.48131522304075,none,138.48131522304075,220.4540768504866,200.0,138.48131522304075,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00244,vertical leakage,far4,10.0,5.0,605.0,0.0,0.0,29.114343843442395,none,100.0,311.76914536239855,200.0,29.114343843442395,297.5,1.0,1.0000000000000027,sensitivity comparison only
