dataset,outcome,factor,n,group_count,eta2_marginal,top_level,top_level_mean,bottom_level,bottom_level_mean
all_fits,lnM_T,pathway,160012,4,0.13934609554513835,Theis confined,0.5996976876602205,Lagging Darcy with leakage,-1.4616901606399268
all_fits,lnM_T,noise_sd_m,160012,4,0.03194632161572819,0.0,0.39796615798462665,0.01,-0.5111645292678619
all_fits,lnM_T,scenario_class,160012,10,0.0204885218256456,combined leakage boundary,0.2720457025595944,homogeneous confined,-0.4396030537082901
all_fits,lnM_T,radius_bin,160012,4,0.007994319620780435,near,0.01089854389389784,far,-0.5042017986966503
all_fits,lnM_T,duration_days,160012,4,0.003791154062721835,10.0,-0.07049881343008842,1.0,-0.37768613598329376
all_fits,lnM_T,leakage_present,160012,2,0.0023230660702680053,False,-0.0799613789960214,True,-0.28737809494266053
all_fits,lnM_T,sigma_ln_s_bin,160012,4,0.0018996923903811809,low,0.06657262508739012,none,-0.2558862489828145
all_fits,lnM_T,obs_layout,160012,6,0.0013382340889808843,near4,-0.12816142237449957,standard4,-0.3518945021424513
all_fits,lnM_T,anisotropy_bin,160012,4,0.0008771114783532346,moderate,-0.0168789507144154,near_iso,-0.23942168147451426
all_fits,lnM_T,support_spread_bin,160012,4,0.0007317948413321233,moderate,-0.12790426707122318,none,-0.25931358338758764
all_fits,lnM_T,sigma_ln_k_bin,160012,4,0.0006735858101043677,high,-0.12168795860786315,none,-0.25792961295380873
all_fits,lnM_T,boundary_type,160012,4,0.0005389200943745817,constant_head_x,-0.11894424651726256,none,-0.24331458301172537
all_fits,lnM_T,time_count,160012,3,0.0002926139561441096,20,-0.1733427198157137,40,-0.25923085945795477
all_fits,lnM_T,corr_len_m_bin,160012,4,0.00022615378997102492,very_long,-0.14693727455741157,none_or_short,-0.23960673073956607
all_fits,lnM_T,domain_m,160012,5,8.082096130589878e-05,1205.0,-0.18066241754960286,405.0,-0.23097919287074398
all_fits,lnM_T,boundary_present,160012,2,3.032133526660195e-05,False,-0.20555723338303125,True,-0.22862862046796426
all_fits,lnM_T,dx_m,160012,3,1.0287411980306403e-05,10.0,-0.2088286852161857,5.0,-0.22396911778916231
all_fits,lnM_response_time,pathway,160012,4,0.10601652290844922,Lagging Darcy with leakage,0.5722578853085263,Hantush-Jacob leaky,-0.4344338405013902
all_fits,lnM_response_time,scenario_class,160012,10,0.016592300619708032,anisotropic heterogeneous K,0.1793563224711662,heterogeneous leakage,-0.2755285412592063
all_fits,lnM_response_time,radius_bin,160012,4,0.013500034255270868,far,0.18556161694614384,very_far,-0.2277964879945873
all_fits,lnM_response_time,noise_sd_m,160012,4,0.006746393260001366,0.003,0.13628890925510473,0.0,-0.15572119330575185
all_fits,lnM_response_time,obs_layout,160012,6,0.0032562493199517514,standard4,0.14019321044833716,mixed4,-0.08983134423304463
all_fits,lnM_response_time,support_spread_bin,160012,4,0.0015216400639603246,high,0.10640053412772883,moderate,-0.0555250747597405
all_fits,lnM_response_time,leakage_present,160012,2,0.0010673197267064237,False,0.07040595099982236,True,-0.0183140703437915
all_fits,lnM_response_time,sigma_ln_s_bin,160012,4,0.0008181223451810768,none,0.02876600408835531,low,-0.1094715198481745
all_fits,lnM_response_time,time_count,160012,3,0.0007171004909150733,40,0.05860989844955441,20,-0.025254175149668236
all_fits,lnM_response_time,domain_m,160012,5,0.00045477926102584497,405.0,0.11499246494692959,1205.0,-0.0017770684921007173
all_fits,lnM_response_time,anisotropy_bin,160012,4,0.0004216038509684309,low_Ky,0.06228656502738395,moderate,-0.08853506860315613
all_fits,lnM_response_time,duration_days,160012,4,0.0002944326031596703,2.0,0.03537473091676631,1.0,-0.023539365088760644
all_fits,lnM_response_time,boundary_type,160012,4,0.00022552894273778948,none,0.024469344697163185,constant_head_x,-0.02830172594813128
all_fits,lnM_response_time,corr_len_m_bin,160012,4,0.00018601660619133235,moderate,0.023226146022183237,very_long,-0.04882852030944476
all_fits,lnM_response_time,sigma_ln_k_bin,160012,4,6.442765976451197e-05,low,0.022139643110889756,high,-0.007347852783047628
all_fits,lnM_response_time,dx_m,160012,3,5.3672978274416034e-05,7.5,0.024780659591559614,10.0,0.0015979055189514083
all_fits,lnM_response_time,boundary_present,160012,2,3.369045092994846e-05,True,0.021945183889826855,False,0.006598506879196132
all_fits,sd_eta,noise_sd_m,160012,4,0.7684962652880539,0.01,0.8831549195386514,0.0,0.051004956814325694
all_fits,sd_eta,radius_bin,160012,4,0.0587199122980673,very_far,0.5196117933873179,near,0.3056804027383608
all_fits,sd_eta,obs_layout,160012,6,0.011675127036592833,far4,0.484878104485484,near4,0.3645248890029773
all_fits,sd_eta,pathway,160012,4,0.007919485246187043,Theis confined,0.46278970965430516,Lagging Darcy with leakage,0.3943595755244711
all_fits,sd_eta,duration_days,160012,4,0.002043858278621704,1.0,0.4470106056578084,10.0,0.41148057961488926
all_fits,sd_eta,domain_m,160012,5,0.0007457637186986008,1005.0,0.4438711370982438,405.0,0.40174944486876346
all_fits,sd_eta,anisotropy_bin,160012,4,0.0005667720738200707,moderate,0.4639900109300602,low_Ky,0.41804477231216813
all_fits,sd_eta,sigma_ln_s_bin,160012,4,0.000461168833250472,moderate,0.4499150402242728,high,0.41036032680704315
all_fits,sd_eta,dx_m,160012,3,0.0003016176958830715,10.0,0.43627362110773626,7.5,0.4217189037055505
all_fits,sd_eta,boundary_type,160012,4,0.00027655321044558025,constant_head_x,0.44764843011705413,constant_head_all,0.4234621540276723
all_fits,sd_eta,scenario_class,160012,10,0.00020212196045446364,combined leakage boundary,0.4405267884055943,finite no-flow boundary,0.4248099322101823
all_fits,sd_eta,sigma_ln_k_bin,160012,4,0.00015779648628409308,low,0.4397826392852503,none,0.42706571801330223
