scenario_class,pathway,scenario_count,fit_count,mu_lnM_T,sigma_lnM_T,cov_M_T,cov_M_T_ci_low,cov_M_T_ci_high,median_M_T,bias_factor_T,mu_lnM_S,sigma_lnM_S,cov_M_S,cov_M_S_ci_low,cov_M_S_ci_high,median_M_S,bias_factor_S,cov_M_response_time,cov_M_response_time_ci_low,cov_M_response_time_ci_high,median_M_response_time,bias_factor_response_time,median_response_cov,support_target_spread_median,boundary_hit_fraction
constant head boundary,Lagging Darcy no-leakage,10,40,0.05282071899841034,0.028014251127143033,0.028019748409832308,0.021642289009881934,0.0332949307996816,1.0559246147866121,1.0542406228610293,0.040356149877706436,0.010281266373732093,0.010281538073590427,0.007811914388497182,0.01228799988328155,1.0396239063423047,1.0411815248398124,0.028833755938149058,0.02432788539784718,0.03197264932900896,0.9810517687208832,0.9876127918636101,0.0033990596461206035,0.0,0.0
constant head boundary,Lagging Darcy with leakage,10,40,0.04951776878212534,0.02226025271534527,0.022263010593753872,0.02128280701515797,0.023034465252481973,1.0559235501263442,1.0507642628501983,0.038589444251922345,0.009474059717425912,0.009474272314111557,0.007441352879708993,0.01078228656461816,1.0391858715921318,1.039343687519211,0.026659169036727198,0.022065202612506444,0.029768053713996784,0.9810605969209036,0.9891311726761539,0.0033991937672551787,0.0,0.2
heterogeneous K,Theis confined,10,40,0.15750248764146862,0.21264984662806807,0.21507665295891154,0.127534969703125,0.3003395380482959,1.1945908282272653,1.1705836699705516,0.15764321936736858,0.32103246541647135,0.32948439200333907,0.13909712117997672,0.47851242608453387,1.065425752561158,1.1707484198232305,0.38215607434140386,0.18961766482103032,0.5238032303993182,0.9213369834198649,1.000140741629074,0.043911934482888826,1.3649888451187464,0.0
heterogeneous K,Hantush-Jacob leaky,10,40,0.14951277342516525,0.21276197428463844,0.21519264577071542,0.1268719002751442,0.301881200899104,1.1811632711933389,1.1612683040910405,0.154145462974064,0.323208590256389,0.33183610260601276,0.14191258401350315,0.4809625739331154,1.0654181375023841,1.1666605803538157,0.3791217818298057,0.18712768309834696,0.5199204782509136,0.926503454803896,1.0046434370453226,0.04391412310510276,1.3649888451187464,1.0
heterogeneous K,Lagging Darcy no-leakage,10,40,0.0026570982049692244,0.19186123712117825,0.19364049095399696,0.10972289995485635,0.270980628742378,1.0264984094568952,1.0026606314190771,0.16158881446199247,0.28975449981451956,0.29594400759126305,0.11492619468853967,0.4334198537118974,1.069311700236691,1.175376843984858,0.35420544276776633,0.16828767090844507,0.49255637272372377,1.065358659034623,1.1722578977907345,0.005429916857278841,1.3649888451187464,0.0
heterogeneous K,Lagging Darcy with leakage,10,40,-0.02554977488574704,0.23530490225167183,0.23859990108350365,0.1203952404752846,0.34215616454413805,1.0230379680694852,0.9747738585007647,0.1453839731776717,0.2609044864725138,0.2654081174645245,0.10763219950381918,0.38370462319879534,1.0690889280300908,1.156483543686819,0.37883703432197813,0.17435711577056262,0.5306789674002602,1.0653590841840035,1.1864121443157392,0.004101377553049833,1.3649888451187464,0.1
heterogeneous leakage,Theis confined,10,40,0.8112652682852174,0.6565466693188843,0.7340830486660426,0.42005978369903657,0.886063121853413,1.7390334280947433,2.25075399346148,0.45671701108812196,0.6785698486625962,0.7647209522882433,0.35143481749107075,1.0155017749391992,1.2996112342593797,1.5788820149195046,0.5169389983468203,0.22895030333673091,0.7278832416044739,0.7570542598953833,0.7014902648206834,0.05879537708890548,1.2386132106835301,0.0
heterogeneous leakage,Hantush-Jacob leaky,10,40,0.5809152473050128,0.42054717731318986,0.4398453261713521,0.2793696150515813,0.536754154658541,1.6209188147680558,1.7876738459009587,0.30225054487915387,0.5322331626601172,0.5722467724796799,0.2718251211407564,0.8349642001092735,1.2456526241153545,1.3529001464541068,0.505172204713721,0.20663589117618258,0.7154449550356977,0.7823998104515955,0.7567936117408862,0.029326180733876866,1.2386132106835301,0.375
heterogeneous leakage,Lagging Darcy no-leakage,10,40,0.9979234948940843,1.0573300961025718,1.4347711679849384,0.7158996734707115,1.9713509513595093,1.594539252264009,2.712643158752253,0.22519035757757133,0.5713042682427717,0.6212518008396967,0.23379538756842128,0.9629857118073701,1.2187026765397357,1.2525611280014834,1.5929759190569563,0.7630552741504174,2.1762949564759446,0.7568737065933833,0.46174931780471623,0.016385953892582864,1.2386132106835301,0.025
heterogeneous leakage,Lagging Darcy with leakage,10,40,0.23634765224725052,0.3731045026593885,0.38647374907363563,0.22254197238025084,0.5107156502064887,1.1870481216567825,1.2666145750363216,0.15557802094958825,0.3088396490075387,0.31635253551327036,0.20429137674999873,0.40915902492746625,1.1113727501399389,1.1683330869682464,0.5090162169025669,0.1956039088490953,0.7273662094482779,0.9378317588095005,0.9224061604807787,0.0014347298106741745,1.2386132106835301,0.0
heterogeneous boundary,Theis confined,10,40,0.2315483000107846,0.19751154762585105,0.19945356635794656,0.09825862717183602,0.2713246088619815,1.244068755159357,1.2605502096959946,0.059752153447725685,0.21048107205090077,0.2128339297891851,0.09344956445591332,0.31392056321666595,1.0241569023566999,1.061573406628727,0.272017606530852,0.1420905142306097,0.3867421239058252,0.8224720207785611,0.8421508310127094,0.050816408904525115,1.2101590130304902,0.0
heterogeneous boundary,Hantush-Jacob leaky,10,40,0.2236101719294088,0.19882334761417328,0.20080453381304142,0.10127685349343339,0.27238167253615087,1.2299192326934214,1.250583411874417,0.05628376580180651,0.21282178525198125,0.21525452017658314,0.09660053885951829,0.3162989533257613,1.0215617765639926,1.0578978363758385,0.26967555490572204,0.13909074106026692,0.3839056728663635,0.8270048252872471,0.8459234516714286,0.05096007345925034,1.2101590130304902,1.0
heterogeneous boundary,Lagging Darcy no-leakage,10,40,0.04832053951602981,0.16972955908005866,0.17095932484997123,0.07345979918628115,0.24305448820450665,1.060039067701736,1.0495070098831447,0.062386655657046416,0.16145990111173783,0.16251792523885386,0.06882917589923292,0.24793923432793244,1.0444672042617866,1.0643738113303256,0.24166749609155216,0.10743914268052127,0.35881638701664065,0.9694556049474162,1.0141655094317437,0.005026953660614602,1.2101590130304902,0.0
heterogeneous boundary,Lagging Darcy with leakage,10,40,0.027189423638622444,0.18350587133907445,0.18506162702189974,0.08018330210548542,0.2634627619279654,1.0399303178148622,1.02756242894371,0.05046088376629867,0.1445434219442377,0.14530169767095302,0.06150242279838827,0.22121619286617134,1.044454367513776,1.051755721827746,0.25015321899961657,0.11317117372986464,0.37070431679045773,0.9694562651492302,1.0235443533186648,0.004115354644534922,1.2101590130304902,0.1
heterogeneous leakage boundary,Theis confined,10,40,0.770001784628473,0.6925445413671925,0.7845107300810502,0.39447814651450913,1.102228433991092,1.8244059675182154,2.159770108168706,0.4571130443415116,0.6088407438964049,0.6698728420905842,0.3453066457502802,1.0439251371236522,1.2384905714386958,1.5795074285347117,0.43356422566943653,0.2153502271408468,0.5956265507719855,0.6987909580581562,0.7313312757504521,0.04428351672137899,1.2546649069028406,0.0
heterogeneous leakage boundary,Hantush-Jacob leaky,10,40,0.5196114038341652,0.41082320186515553,0.428782665623022,0.24413725585051735,0.5555083055655377,1.701860327678363,1.6813741471858943,0.28869393463471854,0.38935196044770054,0.4045847102555891,0.21425377490317973,0.6263023169913051,1.2197601476194453,1.3346831657175844,0.42856593552312305,0.1984303319926061,0.5889583618879667,0.7619452744635157,0.7938049766920917,0.02760087176689416,1.2546649069028406,0.45
heterogeneous leakage boundary,Lagging Darcy no-leakage,10,40,1.0481005502206109,1.1185325861014495,1.5793154754710197,0.7817878944630833,2.2789476603744427,1.7179674159523095,2.85222830508826,0.09762439656760188,0.6189015495305872,0.6831803710483644,0.24414190082488688,1.239366166012928,1.1191929060763501,1.1025485862927316,1.8401518471262637,0.8270425611870021,2.440655826458536,0.7037066966020028,0.3865569191378648,0.015081280736500509,1.2546649069028406,0.025
heterogeneous leakage boundary,Lagging Darcy with leakage,10,40,0.2017788850287344,0.4065745796771329,0.4239698076865742,0.19274904149468167,0.5869981514430112,1.2516264662789685,1.2235774269100907,0.1582253129921022,0.2983487454331635,0.3051126756541708,0.12378476695369249,0.4899899955449229,1.1051732735403277,1.1714301033971597,0.43470479778290966,0.1963678638640567,0.6162063877033367,0.9128385889053565,0.9573812638529798,0.0014182345550472946,1.2546649069028406,0.0
