case,well,pathway,strict_bic_weight,variance_window_weight,delta_bic,bic_window_scale
Massachusetts,MW-13,Lagging Darcy with leakage,0.9996867539038505,0.3759781620097168,0.0,58.06447460013263
Lovelock Valley,WWBN,Theis confined,1.3893005529916222e-101,0.1912128608326981,464.3352113154722,394.8016495532975
Lovelock Valley,WWBN,Hantush-Jacob leaky,8.16298869808891e-178,0.12258304379756141,815.3916957510944,394.8016495532975
Lovelock Valley,WWBN,Lagging Darcy no-leakage,0.937359580220723,0.34427771723256695,0.0,394.8016495532975
Lovelock Valley,WWBN,Lagging Darcy with leakage,0.06264041977927706,0.34192637813717347,5.411312424822199,394.8016495532975
Lovelock Valley,LEID,Theis confined,5.383349757226509e-54,0.14967037868541885,245.0480043700437,142.1609585800957
Lovelock Valley,LEID,Hantush-Jacob leaky,2.4648047165967112e-55,0.1464586601052636,251.21557101601877,142.1609585800957
Lovelock Valley,LEID,Lagging Darcy no-leakage,0.8760938800485676,0.3543565286365959,0.0,142.1609585800957
Lovelock Valley,LEID,Lagging Darcy with leakage,0.12390611995143237,0.34951443257272174,3.9118981450060915,142.1609585800957
Lovelock Valley,MD,Theis confined,1.5889539829510472e-05,0.1623483410912736,21.872361058169176,12.902624161109232
Lovelock Valley,MD,Hantush-Jacob leaky,1.8025443779876189e-06,0.13714799864188396,26.225284678686577,12.902624161109232
Lovelock Valley,MD,Lagging Darcy no-leakage,0.8925533345589881,0.37892480912044085,0.0,12.902624161109232
Lovelock Valley,MD,Lagging Darcy with leakage,0.10742897335680429,0.32157885114640156,4.234512708474142,12.902624161109232
Lovelock Valley,MOIR,Theis confined,3.08369160001792e-07,0.15706083373280005,29.585227289210422,17.458322714474715
Lovelock Valley,MOIR,Hantush-Jacob leaky,4.337682712868944e-08,0.1403707633959029,33.50797183983133,17.458322714474715
Lovelock Valley,MOIR,Lagging Darcy no-leakage,0.8192593687972177,0.36647977431984374,0.0,17.458322714474715
Lovelock Valley,MOIR,Lagging Darcy with leakage,0.18074027945679508,0.33608862855145333,3.0226792853634947,17.458322714474715
Lovelock Valley,FETH,Theis confined,0.7839871718293088,0.42041987022391547,0.0,3.3452510056515536
Lovelock Valley,FETH,Hantush-Jacob leaky,0.11101741951242677,0.23437710344971038,3.9094110724196582,3.3452510056515536
Lovelock Valley,FETH,Lagging Darcy no-leakage,0.09190771088962443,0.22150886408498183,4.287215453386295,3.3452510056515536
Lovelock Valley,FETH,Lagging Darcy with leakage,0.013087697768639883,0.12369416224139221,8.185439940819123,3.3452510056515536
Lovelock Valley,WD,Theis confined,0.25911194396508164,0.28279969917450926,1.6841904840916868,2.532153234292891
Lovelock Valley,WD,Hantush-Jacob leaky,0.031097370776893084,0.12241937987818942,5.924464303545648,2.532153234292891
Lovelock Valley,WD,Lagging Darcy no-leakage,0.6014572294773994,0.39437404165707346,0.0,2.532153234292891
Lovelock Valley,WD,Lagging Darcy with leakage,0.10833345578062585,0.2004068792902279,3.428282805009246,2.532153234292891
Lovelock Valley,WS,Theis confined,0.5878504059951236,0.3930103358220715,0.0,2.5403472322363556
Lovelock Valley,WS,Hantush-Jacob leaky,0.07056501897843197,0.1706012133710481,4.239875928284022,2.5403472322363556
Lovelock Valley,WS,Lagging Darcy no-leakage,0.30390137363801273,0.3031172606119365,1.3195385680242282,2.5403472322363556
Lovelock Valley,WS,Lagging Darcy with leakage,0.03768320138843172,0.1332711901949438,5.494516190641093,2.5403472322363556
