scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit,ensemble_role,dx_m,domain_m,time_count,sigma_ln_k,corr_len_m,support_target_spread
strict_heterogeneous_leakage_05,heterogeneous leakage,R50E,50.24937810560445,Lagging Darcy with leakage,5.829625416844982e-05,0.001,6.537133615784954e-05,0.0010497928149691518,288.49415841851715,452.91248357997574,198.89199315999576,0.11454603701773726,0.04859282562246338,0.11454603701773726,-0.06595321139527376,0.00030495218988264627,0.0026647572800560823,0.0026647620106102633,0.00033022880021903514,-322.5885447807258,-315.9275222298498,5,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100E,100.4987562112089,Theis confined,5.829625416844982e-05,0.001,8.903779735684884e-05,0.0012149661238242142,,,,0.4235231286576368,0.19471619477765087,0.4235231286576368,-0.2288069338799859,0.004487555172491407,0.022549672103335545,0.02255253896482202,0.0006859407487502934,-208.24524527135992,-205.58083625100952,2,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100E,100.4987562112089,Hantush-Jacob leaky,5.829625416844982e-05,0.001,8.903663662942796e-05,0.0012149568589510137,,,99999.99999999203,0.423510092227927,0.1947085691259194,0.423510092227927,-0.22880152310200752,0.004487805083932589,0.022550361073018055,0.02255322819730475,0.0006860086849760339,-206.24347877457467,-202.24686524404905,3,True,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100E,100.4987562112089,Lagging Darcy no-leakage,5.829625416844982e-05,0.001,8.233106364762846e-05,0.0012051361469556912,295.39384410427425,555.5243065851972,,0.34521064022475834,0.1865925455857609,0.34521064022475834,-0.15861809463899737,-0.00021591089624289062,0.006321134936406398,0.0063211980799311495,0.0006210707123637566,-276.56040148955185,-271.23158344885104,4,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100E,100.4987562112089,Lagging Darcy with leakage,5.829625416844982e-05,0.001,6.9277747663617e-05,0.0010990349477246282,1063.635013587352,1548.6295701428146,195.06157300142897,0.1725859127743342,0.09443247448333936,0.1725859127743342,-0.07815343829099469,5.9796400551279734e-05,0.0008274772399351887,0.000827477381551277,4.8040455743531896e-05,-388.30629286228645,-381.64527031141046,5,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100N,100.4987562112089,Theis confined,5.829625416844982e-05,0.001,8.123631843736985e-05,0.001287013471308595,,,,0.33182457824549866,0.2523243957764542,0.33182457824549866,-0.07950018246904444,0.0041432725398750205,0.020825286389247657,0.020827544536180534,0.0005869622397278165,-212.7007852983958,-210.0363762780454,2,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100N,100.4987562112089,Hantush-Jacob leaky,5.829625416844982e-05,0.001,8.123582179008337e-05,0.001287008681382951,,,99999.99999949057,0.3318184646153615,0.2523206740325375,0.3318184646153615,-0.0794977905828239,0.004143374275211006,0.020825476327336712,0.020827734536058632,0.0005869453024482683,-210.70024047076663,-206.703626940241,3,True,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100N,100.4987562112089,Lagging Darcy no-leakage,5.829625416844982e-05,0.001,7.53625595393621e-05,0.001273111958050615,193.5754070661525,448.7315908176519,,0.2567727535325695,0.2414642639017812,0.2567727535325695,-0.015308489630788324,-0.00024825627944176723,0.0071108162337557,0.007110906122004926,0.0006762964797480469,-269.9666651650977,-264.6378471243969,4,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_05,heterogeneous leakage,R100N,100.4987562112089,Lagging Darcy with leakage,5.829625416844982e-05,0.001,6.0628209492587384e-05,0.001126931786630363,1173.639274495672,1709.3339994224077,165.2340553213152,0.03922244761800719,0.11949870672216568,0.03922244761800719,0.08027625910415857,3.4976778285310716e-05,0.0006140730875884932,0.0006140731453957217,3.4117921126483776e-05,-405.06645732481036,-398.40543477393436,5,False,ensemble,5.0,605.0,28,0.7,80.0,1.2415459389192005
strict_heterogeneous_leakage_06,heterogeneous leakage,R20E,20.615528128088304,Theis confined,4.0763970737130344e-05,0.001,0.00012688536358492486,0.0013763793218114061,,,,1.135485408782536,0.31945637144226097,1.135485408782536,-0.816029037340275,0.022793413465664016,0.09112623172110679,0.0913157372380839,0.012158420734035323,-129.4066305368724,-126.742221516522,2,False,ensemble,5.0,605.0,28,1.1,10.0,2.099733107806216
