case,well,pathway,T_m2s,S,distance_m,hydraulic_diffusivity_m2s,characteristic_response_time_h
Massachusetts,MW-05,Lagging Darcy with leakage,4.03138926577913e-05,0.0029378366405466,17.354672008507535,0.013722305761116346,1.524204488692957
Massachusetts,MW-06,Theis confined,6.698673365304115e-05,0.0022773415967734,17.042475827018023,0.0294144425886524,0.6857128032312992
Massachusetts,MW-06,Hantush-Jacob leaky,6.698673529602449e-05,0.0022773415780386,17.042475827018023,0.02941444355208145,0.6857127807717333
Massachusetts,MW-06,Lagging Darcy no-leakage,4.642246365376861e-05,0.0025810465535476,17.042475827018023,0.017985907146836153,1.121425776208289
Massachusetts,MW-06,Lagging Darcy with leakage,4.615389098278926e-05,0.0025715664770156,17.042475827018023,0.017947772844026412,1.1238085114089305
Massachusetts,MW-07,Theis confined,3.345908841789134e-05,0.0092401693505647,17.497459583829144,0.0036210470986493917,5.871557689646841
Massachusetts,MW-07,Hantush-Jacob leaky,2.372217871643258e-05,0.0071141365808574,17.497459583829144,0.003334512691289035,6.376100169656036
Massachusetts,MW-07,Lagging Darcy no-leakage,3.067735512750697e-05,0.0090346672811388,17.497459583829144,0.0033955157586766337,6.261548597534573
Massachusetts,MW-07,Lagging Darcy with leakage,1.1590416467777354e-05,0.004906443962247,17.497459583829144,0.002362284488921239,9.000265224768654
Massachusetts,MW-08,Theis confined,2.4036238215348636e-05,0.0001581962868733,5.843416890268858,0.15193933239785426,0.015606339026628491
Massachusetts,MW-08,Hantush-Jacob leaky,1.381067162792918e-05,0.0002981122918764,5.843416890268858,0.04632707876955039,0.05118424895029324
Massachusetts,MW-08,Lagging Darcy no-leakage,1.959308303916298e-05,0.0003208130400091,5.843416890268858,0.06107321273040277,0.038825806386637005
Massachusetts,MW-08,Lagging Darcy with leakage,1.226469622773194e-05,0.0003473858462831,5.843416890268858,0.03530568777904929,0.06716245687437401
Massachusetts,MW-10,Theis confined,2.575575191395394e-05,0.002916614265507,9.271058098308242,0.008830702166738794,0.6759286822968757
Massachusetts,MW-10,Hantush-Jacob leaky,2.575560588180641e-05,0.0029166204052592,9.271058098308242,0.0088306335083456,0.6759339376590416
Massachusetts,MW-10,Lagging Darcy no-leakage,1.223869377109961e-05,0.0035903133867812,9.271058098308242,0.003408809330171561,1.7510292601257078
Massachusetts,MW-10,Lagging Darcy with leakage,1.0752153643226129e-05,0.0035522573513343,9.271058098308242,0.0030268509794729266,1.9719916572699272
Massachusetts,MW-11,Theis confined,1.785730475403275e-05,0.0002034399488026,12.357706052704296,0.08777678552878466,0.12081853258450445
Massachusetts,MW-11,Hantush-Jacob leaky,1.2372795177015155e-05,0.0001997351685529,12.357706052704296,0.061946002132009174,0.17119849639324192
Massachusetts,MW-11,Lagging Darcy no-leakage,1.770005369352165e-05,0.0002151691966907,12.357706052704296,0.08226109483024659,0.12891953899297187
Massachusetts,MW-11,Lagging Darcy with leakage,5.96144126147893e-06,0.0002286782361724,12.357706052704296,0.026069123853940404,0.40680547923245797
Massachusetts,MW-12,Theis confined,2.4939820867403872e-05,0.0001652169600498,17.74299900921008,0.1509519413738545,0.1448281094998138
Massachusetts,MW-12,Hantush-Jacob leaky,2.493982085721241e-05,0.0001652169599121,17.74299900921008,0.15095194143798002,0.14482810943828975
Massachusetts,MW-12,Lagging Darcy no-leakage,2.103515541949877e-05,0.0002221185797629,17.74299900921008,0.09470236772607092,0.23085045093844672
Massachusetts,MW-12,Lagging Darcy with leakage,2.248276326682364e-05,0.0001929305634433,17.74299900921008,0.11653292700526972,0.1876043523176368
Massachusetts,MW-13,Theis confined,7.90330964405873e-05,0.0008290440354321,36.57128860632061,0.0953303962911874,0.9742863900185949
Massachusetts,MW-13,Hantush-Jacob leaky,7.903184784062489e-05,0.0008290443484679,36.57128860632061,0.09532885422435873,0.9743021503540766
Massachusetts,MW-13,Lagging Darcy no-leakage,3.51123788961532e-05,0.0008742923489341,36.57128860632061,0.04016091292456204,2.3126742122632136
Massachusetts,MW-13,Lagging Darcy with leakage,3.1471165600746844e-05,0.0008457749658286,36.57128860632061,0.03720985708049984,2.49608880412113
Lovelock Valley,FETH,Theis confined,0.1478248600804208,0.0081492224114486,9173.2608,18.139750348787395,322.14669780922515
Lovelock Valley,FETH,Hantush-Jacob leaky,0.1476864807641648,0.0081440630494053,9173.2608,18.134250664347356,322.244397196652
Lovelock Valley,FETH,Lagging Darcy no-leakage,0.1289525975405493,0.0080265148609503,9173.2608,16.065826797121503,363.73233371298403
Lovelock Valley,FETH,Lagging Darcy with leakage,0.1286089802216384,0.0080140236394679,9173.2608,16.04799112249406,364.1365844074209
Lovelock Valley,MOIR,Theis confined,0.1792235785724748,0.0069415705234131,8046.72,25.818880319370777,174.15577594302056
Lovelock Valley,MOIR,Hantush-Jacob leaky,0.1791389231137964,0.0069397786922159,8046.72,25.813348099231188,174.19310035701727
Lovelock Valley,MOIR,Lagging Darcy no-leakage,0.1513114775735207,0.0070893385879809,8046.72,21.343525308559908,210.67312316005535
Lovelock Valley,MOIR,Lagging Darcy with leakage,0.1156407438459602,0.0062385201781914,8046.72,18.536566452123814,242.57497458407758
Lovelock Valley,MD,Theis confined,0.5246266986839565,0.0082195318489411,7724.8512,63.82683446278546,64.92537208552568
Lovelock Valley,MD,Hantush-Jacob leaky,0.518208805607127,0.0083418237087386,7724.8512,62.12176422096642,66.70739359232469
Lovelock Valley,MD,Lagging Darcy no-leakage,0.1034088284961602,0.0155644571662237,7724.8512,6.64390845063115,623.7263814410228
Lovelock Valley,MD,Lagging Darcy with leakage,0.1032038859608807,0.0155565328080373,7724.8512,6.6341187483344815,624.6467893837386
Lovelock Valley,LEID,Theis confined,0.0516682428704741,0.0042295844526881,1609.344,12.215914695269058,14.72343986731143
Lovelock Valley,LEID,Hantush-Jacob leaky,0.0488063271052646,0.0044499691467877,1609.344,10.967789999284923,16.39895416047595
Lovelock Valley,LEID,Lagging Darcy no-leakage,0.0301489025732098,0.0099846236830959,1609.344,3.0195331872399245,59.56559318508618
Lovelock Valley,LEID,Lagging Darcy with leakage,0.0301392660338375,0.00998537823769,1609.344,3.0183399483132516,59.58914122331114
Lovelock Valley,WWBN,Theis confined,0.0357540196938058,0.0015361751618073,965.6064,23.274702379474377,2.7819776898845254
Lovelock Valley,WWBN,Hantush-Jacob leaky,0.0296581442168155,0.001605039753618,965.6064,18.478136849857833,3.504125079520567
Lovelock Valley,WWBN,Lagging Darcy no-leakage,0.0342221291414778,0.0018037415616993,965.6064,18.972856127591374,3.41275463867759
Lovelock Valley,WWBN,Lagging Darcy with leakage,0.0342008515627899,0.0018039504642212,965.6064,18.95886402709792,3.4152733341962476
Lovelock Valley,WS,Theis confined,2.1961025115615427,0.0166421243512505,15449.7024,131.9604676188185,125.61280060049252
Lovelock Valley,WS,Hantush-Jacob leaky,2.192487833204693,0.0166490359766962,15449.7024,131.6885756192453,125.87214819664244
Lovelock Valley,WS,Lagging Darcy no-leakage,0.7798294144887652,0.0209379961859612,15449.7024,37.24470133448759,445.05455305669324
Lovelock Valley,WS,Lagging Darcy with leakage,0.0452937746509384,4.990080099027758e-05,15449.7024,907.676304830522,18.261933045884014
Lovelock Valley,WD,Theis confined,1.5237939733281007,0.0104239739578212,15449.7024,146.18167500167098,113.3926253476089
Lovelock Valley,WD,Hantush-Jacob leaky,1.5219118226067494,0.010428467474812,15449.7024,145.93820484962347,113.58179938714771
Lovelock Valley,WD,Lagging Darcy no-leakage,0.4675683796720662,0.0142516516233452,15449.7024,32.80801355726073,505.2400956010331
Lovelock Valley,WD,Lagging Darcy with leakage,0.0007627415481195,0.0002509817025883,15449.7024,3.0390324882394704,5454.342449544833
