scenario_id,family,split,truth_model,truth_T_m2_s,truth_S,truth_delay_s,truth_tau_q_s,truth_tau_s_s,truth_leakage_B_m,pathway,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,delta_logT,delta_logS,sd_epsilon,bias_eta,rmse_m,aic,bic,parameter_count,boundary_hit,reliability_class
recovery_06,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,3.392548754648672e-05,0.000993753430984731,0.00010000000036006283,110.60734728493189,57.46985329776847,-0.387856428506523,-0.006266160456304258,0.622803819515801,0.06624451599469264,0.016359676986141512,-45.2735894933981,-34.971374440666004,5,True,C
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,0.0001039299010112626,0.0012685324772729067,,,,0.7316936377158719,0.23786070262492337,0.676622270175767,0.07229561924990523,0.07734051750058635,-41.6533177957607,-37.53243177466786,2,False,C
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,5.724755212075208e-05,0.0009430537222307438,,,,0.13536187837594485,-0.058632028479604574,0.5490303680458822,0.09724193376725528,0.010795486286011565,-64.74005205217003,-60.61916603107719,2,False,B
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,5.598685910730328e-05,0.0009345651372675224,,,99999.99999939873,0.11309399897216374,-0.06767395171465991,0.5506235757003874,0.09870571658191743,0.010427904967024969,-62.36020235856735,-56.17887332692809,3,True,C
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,9549296.58551372,1e-09,,,,25.975465606313158,-13.815510557964274,2.0191762694007664,3.4641454492383463,0.14918722211557855,164.83581297324787,168.9566989943407,2,True,D
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,4.7803595296240304e-05,0.0010502763272493502,0.00010000000835421802,100.04979137519528,,-0.04492215335675552,0.049053298355500125,0.5186977158652866,0.018574127141248606,0.005418701123896143,-69.07943660908744,-60.837664566901765,4,True,C
recovery_07,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,4.6059874428266375e-05,0.0010365577874952296,0.0001000002131321237,103.88326124573578,163.96771489055604,-0.0820808373036225,0.035905403867541937,0.5185640982041407,0.01779937907928282,0.00535799136239446,-67.11546036933149,-56.81324531659939,5,True,C
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,0.0001001622354698245,0.0014247519015708526,,,,0.6947682206624418,0.3539976944019198,0.8235928541437009,0.12929577233573136,0.07937003710012276,-18.085285512634133,-13.964399491541295,2,False,C
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,4.950327741442829e-05,0.001060724528230661,,,,-0.009984127652821969,0.05895219183122298,0.6966764623640243,0.18216691853975173,0.006982136485309684,-35.034126874622196,-30.91324085352936,2,False,B
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,4.889308806676676e-05,0.0010551354346307823,,,99999.9999125084,-0.022386967265814295,0.05366913274639927,0.6964470592412169,0.18312812542580534,0.0064056680078845435,-33.02991524238607,-26.84858621074681,3,True,C
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,9549296.58551372,1e-09,,,,25.975465606313158,-13.815510557964274,2.0459828664745987,3.412125783163466,0.14945276878802372,163.92058089597106,168.0414669170639,2,True,D
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,4.0345805507373206e-05,0.001206772596716425,0.00013105544757627724,186.77288363096756,,-0.21453556884493627,0.18794952065054127,0.626955946928957,0.017893415931857736,0.01503970458948429,-47.118632937156676,-38.876860894971,4,False,C
recovery_08,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,2.9152119425822392e-05,0.0010487613332155225,0.0001000000008767807,220.81796307089667,45.68123434180969,-0.53949538769933,0.04760978514424895,0.6190314882478465,0.016900079082877335,0.017176286471414635,-46.59824987348842,-36.296034820756326,5,True,C
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,7.801925835717968e-05,0.0014948627908965798,,,,0.4449326928012834,0.40203442396623523,0.7896967113642863,0.15469189912824852,0.08763163775720352,-22.175525545800927,-18.054639524708087,2,False,C
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,4.2955953745829124e-05,0.0010846627583865364,,,,-0.15184774621296981,0.08126911691376582,0.6309660011670158,0.17616956792304533,0.01258041932239346,-45.99969418677793,-41.87880816568509,2,False,C
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,3.733985761624206e-05,0.000998710255896428,,,72.07653133764329,-0.2919616804915757,-0.001290576539328035,0.6267906477646937,0.18057742812600255,0.01434744661416611,-44.494674035246966,-38.31334500360771,3,False,C
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Cooper-Jacob late-time,9549296.58551372,1e-09,,,,25.975465606313158,-13.815510557964274,2.1009112688560934,3.3534030274166464,0.14923300131515205,163.278620596745,167.39950661783783,2,True,D
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy no-leakage,3.865440496978643e-05,0.001188399829846932,0.00010433067287405008,133.51951558784097,,-0.25736226613115426,0.17260772142802527,0.6215976247980032,0.058038948177758044,0.01888358677045782,-47.65009764069201,-39.40832559850634,4,False,C
recovery_09,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Lagging Darcy with leakage,2.8158665145767516e-05,0.001014358414677588,0.0001000000011415856,156.06362376801192,44.60299996017321,-0.5741678777558895,0.014256308866015265,0.6118957840856442,0.05677809552658999,0.022389058624925903,-47.48121151001921,-37.17899645728711,5,True,C
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis fixed-rate,9.733608654097585e-05,0.0013265880069849023,,,,0.6661467941518627,0.2826102376530326,0.6899500115012939,0.048632741324974076,0.07994706330134412,-39.7680244102491,-35.64713838915626,2,False,C
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Theis schedule-aware,5.207769027508833e-05,0.0009833178518193133,,,,0.04071364193202136,-0.01682286235288078,0.5446498302193726,0.08102535960372118,0.0056248195601854385,-66.20009068458008,-62.07920466348724,2,False,B
recovery_10,recovery,holdout,Pumping plus recovery schedule,5e-05,0.001,0.0,0.0,0.0,,Hantush-Jacob leaky,5.123071395405176e-05,0.0009764740123582639,,,99999.99999999735,0.02431622867515849,-0.023807142067909723,0.5452007210364561,0.08213419607207335,0.0056734117365855605,-64.0502801191316,-57.86895108749234,3,True,C
