scenario_id,scenario_class,ensemble_role,well,reference_solution,exactness,radius_m,bias_eta,sd_eta,rmse_m,max_abs_error_m,median_abs_error_m,pass_flag
strict_leakage_01,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,99.62429422585637,0.015513035452830618,0.07645546392969968,0.0007439455602077354,0.002047746564786592,5.118199559591313e-06,True
strict_leakage_01,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,99.62429422585637,0.015513038678651166,0.07645546061126819,0.0007439457147801627,0.002047746701595292,5.11820383806926e-06,True
strict_leakage_02,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,18.027756377319946,0.028507553038314457,0.1301666443049733,0.00949405696963452,0.019444930674143768,0.00808772050826869,False
strict_leakage_02,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,47.16990566028302,0.027401364143857215,0.09989548682903042,0.003594410557842371,0.0077527294189647655,0.0005680633197336917,False
strict_leakage_02,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,101.24228365658294,0.021504988797486666,0.08474034113870627,0.001245599302654053,0.003351436042890031,4.196661560420755e-06,False
strict_leakage_02,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,101.24228365658294,0.021505017843543424,0.08474035262667647,0.0012455997223098263,0.0033514367147832805,4.196656597026821e-06,False
strict_leakage_03,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,21.213203435596427,0.020319771351653006,0.10812070791823535,0.007973299251540548,0.012707574553217027,0.0056929912315381165,False
strict_leakage_03,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,53.150729063673246,0.027884643757558912,0.09778917788330052,0.003886667220524558,0.008563612563834866,0.0005255301317301333,False
strict_leakage_03,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,99.24716620639605,0.02781274872928752,0.0907155163879061,0.0017458186975502154,0.0050391701293964475,5.588533256832431e-06,False
strict_leakage_03,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,99.24716620639605,0.027812781698449255,0.09071552946443714,0.0017458196560750565,0.005039175774323418,5.588501705845297e-06,False
strict_leakage_04,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,22.360679774997898,0.03907512187206725,0.1229581665416448,0.006149528553587161,0.011387737653738572,0.002304292298974518,False
strict_leakage_04,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,49.24428900898052,0.034525333844597474,0.10577807250533487,0.0044487343758106285,0.009905429572134528,0.0006889468825425992,False
strict_leakage_04,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,98.48857801796105,0.034298409058062765,0.09596657644143483,0.001985318059652693,0.0064958523384044675,6.7336609482593266e-06,False
strict_leakage_04,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,98.48857801796105,0.03429841796580129,0.09596655865497465,0.0019853187212373483,0.0064958555586263345,6.733646265580132e-06,False
strict_leakage_05,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,20.0,0.10854736484816466,0.20274106469076236,0.006458716240166902,0.02208738670950594,0.0029176607098553515,False
strict_leakage_05,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,50.24937810560445,0.042389971264251015,0.11489353963995037,0.0043206074334541785,0.010216658889052488,0.0006282695150946687,False
strict_leakage_05,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,100.4987562112089,0.03908181487267336,0.09949540385308923,0.001926139122625337,0.006704505644515413,5.695591849625553e-06,False
strict_leakage_05,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,100.4987562112089,0.039081818336572885,0.09949540361271951,0.0019261393511398057,0.0067045071876287166,5.695596349670393e-06,False
strict_leakage_06,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,20.615528128088304,0.06626851742444645,0.1609278920554716,0.004481544457085191,0.008489465279391817,0.0019780904528881203,False
strict_leakage_06,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,50.99019513592785,0.029282796539789362,0.10083720677143383,0.001627231408682983,0.004069504477536054,0.00034686689441169405,False
strict_leakage_06,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,101.9803902718557,0.007977602017804486,0.06149536807549532,0.00035810994772295167,0.0010359060504414042,3.4172255921456907e-06,True
strict_leakage_06,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,101.9803902718557,0.007977603197703841,0.06149537810808116,0.00035810992595025837,0.0010359059556574388,3.4172025490604857e-06,True
