scenario_id,scenario_class,reference_solution,well,dx_m,domain_m,radius_m,time_count,duration_days,pass_flag,rmse_m,mae_m,max_abs_error_m,bias_eta,sd_eta,max_abs_eta
deg_hantush_dx5p0,vertical leakage,Hantush-Jacob analytical,R20E,5.0,805.0,20.0,40,2.0,True,0.003158755301523134,0.0025914283207421917,0.005472880946052194,0.10000276374240709,0.1858863005857562,0.6043237487074649
deg_hantush_dx5p0,vertical leakage,Hantush-Jacob analytical,R50E,5.0,805.0,50.0,40,2.0,True,0.002675459877678017,0.001621738683727335,0.005792765543533945,0.03269055389789073,0.08970877248775871,0.29278348885259725
deg_hantush_dx5p0,vertical leakage,Hantush-Jacob analytical,R100E,5.0,805.0,100.0,40,2.0,True,0.0011798963043157388,0.000572749404734772,0.0034859379003469165,0.023792879395269355,0.07084603646247563,0.23322171699589764
deg_hantush_dx5p0,vertical leakage,Hantush-Jacob analytical,R100N,5.0,805.0,100.0,40,2.0,True,0.0011798963160454799,0.000572749408782595,0.0034859380576007376,0.02379287934353117,0.07084603651216927,0.23322171699589728
deg_theis_dx2p5,homogeneous confined,Theis analytical,R20E,2.5,805.0,20.0,40,2.0,True,0.004879259214668653,0.003661051945794907,0.008290022223764515,0.05162927988238388,0.11756380560704999,0.3842281308083196
deg_theis_dx2p5,homogeneous confined,Theis analytical,R50E,2.5,805.0,50.0,40,2.0,True,0.0030678850879911294,0.0017712112474952547,0.007641264226949496,0.0291112131573374,0.07864364940999177,0.2566990997020685
deg_theis_dx2p5,homogeneous confined,Theis analytical,R100E,2.5,805.0,100.0,40,2.0,True,0.0012479926520474966,0.0005900050292268613,0.0046258014211003895,0.031160458314176798,0.07298951724040577,0.24906424828310314
deg_theis_dx2p5,homogeneous confined,Theis analytical,R100N,2.5,805.0,100.0,40,2.0,True,0.0012479927900245586,0.0005900050710748261,0.004625801900327936,0.031160458035736072,0.07298951746131056,0.2490642482831753
deg_hantush_dx2p5,vertical leakage,Hantush-Jacob analytical,R20E,2.5,805.0,20.0,40,2.0,True,0.0040156446842768935,0.0030887589071400463,0.00692200981432628,0.051475116946820144,0.11711516934553792,0.3829457797751204
deg_hantush_dx2p5,vertical leakage,Hantush-Jacob analytical,R50E,2.5,805.0,50.0,40,2.0,True,0.0027338862573400772,0.001633114767027734,0.005931307175901346,0.02570579407209824,0.07782642283765435,0.25000320243426344
deg_hantush_dx2p5,vertical leakage,Hantush-Jacob analytical,R100E,2.5,805.0,100.0,40,2.0,True,0.0011862272123074884,0.0005714267133227234,0.0035085210485747698,0.02206213340099191,0.06789502759931808,0.22324203393932254
deg_hantush_dx2p5,vertical leakage,Hantush-Jacob analytical,R100N,2.5,805.0,100.0,40,2.0,True,0.0011862271386898244,0.0005714266879764122,0.0035085212411925665,0.022062133684916135,0.0678950273390579,0.22324203393933284
