scenario_class,pathway,n_scenarios,cov_M_T,cov_M_S,bias_factor_T,bias_factor_S,tail_relative_range_cov_M_T,tail_relative_range_cov_M_S,converged_flag
vertical leakage,Theis confined,3,0.9695165486307945,0.6636198884377396,3.8885122905608798,2.3063544473175233,,,
vertical leakage,Theis confined,4,0.9241413499439528,0.6210806394407886,3.2198596125075767,2.0357653682427914,,,
vertical leakage,Theis confined,5,0.8947845728156927,0.597608098034417,2.770065147208332,1.8359358006008093,,,
vertical leakage,Theis confined,6,0.8612375404377053,0.5802011291050401,2.472558201306806,1.6894913609277569,,,
vertical leakage,Theis confined,7,1.0290402363633875,0.6771944704819536,2.8502872416365985,1.8619330300111305,,,
vertical leakage,Theis confined,8,0.9599410254408483,0.6375956056939172,2.7881651981640285,1.8383210019792207,,,
vertical leakage,Theis confined,9,0.9259964883000009,0.6142409872433413,2.606879601922116,1.7582010339481646,,,
vertical leakage,Theis confined,10,0.9022928676925276,0.5979075125224955,2.4437684060660363,1.68273541261068,0.06389073859770916,0.06637831494035362,True
vertical leakage,Hantush-Jacob leaky,2,0.3557276518363831,0.32072222560304153,2.197444313372981,1.5933238816783668,,,
vertical leakage,Hantush-Jacob leaky,3,0.3374921844289423,0.2871766075222609,2.024251760113094,1.5064571280118146,,,
vertical leakage,Hantush-Jacob leaky,4,0.32242995506563527,0.26491979438212343,1.908134311723228,1.4454812089929172,,,
vertical leakage,Hantush-Jacob leaky,5,0.3125740406040667,0.25261509867420406,1.8207785166679062,1.3952619996460345,,,
vertical leakage,Hantush-Jacob leaky,6,0.30615312375149745,0.2500644876737943,1.7406659543866518,1.3432594025609534,,,
vertical leakage,Hantush-Jacob leaky,7,0.3436225474961977,0.2827343026682526,1.8242398469450734,1.393902658025521,,,
vertical leakage,Hantush-Jacob leaky,8,0.3294204397388999,0.2697783752290146,1.8102099591751526,1.387444465765214,,,
vertical leakage,Hantush-Jacob leaky,9,0.3214999235380658,0.2601601618593438,1.7746182202642065,1.3686837242908514,,,
vertical leakage,Hantush-Jacob leaky,10,0.31852326649944873,0.25470242178719077,1.7274002675259224,1.3426302463009139,0.0342115455464539,0.05919045973744257,True
vertical leakage,Lagging Darcy no-leakage,2,1.9872022796037472,0.7344061316480914,10.296654225973942,1.045141748574137,,,
vertical leakage,Lagging Darcy no-leakage,3,1.7663753908945736,0.753134567027025,8.103585809014044,0.8882878828462073,,,
vertical leakage,Lagging Darcy no-leakage,4,1.8840788120367062,0.6801788967787997,5.555231500364178,0.9973903190064602,,,
vertical leakage,Lagging Darcy no-leakage,5,1.8803382938853677,0.6021894458678589,4.235447736812316,1.0391943591900996,,,
vertical leakage,Lagging Darcy no-leakage,6,1.8222214893873048,0.541898111335893,3.4618530815720723,1.0541158913606552,,,
vertical leakage,Lagging Darcy no-leakage,7,2.125607541256163,0.6020078997167414,4.192060231776737,1.1000412641497546,,,
vertical leakage,Lagging Darcy no-leakage,8,1.9678752970451798,0.632325159436253,4.285527384135992,1.0286777163243346,,,
vertical leakage,Lagging Darcy no-leakage,9,1.8986063683881227,0.5945692933231428,3.796925580808692,1.0502651894974717,,,
vertical leakage,Lagging Darcy no-leakage,10,1.8487598019142388,0.5598127914578818,3.397844357452681,1.0593852031998583,0.06442994650122028,0.12952967328512144,True
vertical leakage,Lagging Darcy with leakage,2,0.33049285010256446,0.24725295616473122,1.5909101512084576,1.3756125289391135,,,
vertical leakage,Lagging Darcy with leakage,3,0.30244282744589346,0.21749297810981588,1.4704028753992127,1.305657838251271,,,
vertical leakage,Lagging Darcy with leakage,4,0.2810031368506134,0.19964596782610658,1.3919318698811542,1.2566888846777837,,,
vertical leakage,Lagging Darcy with leakage,5,0.26420935949254204,0.18735834170183246,1.3380893498783093,1.2212575857991497,,,
vertical leakage,Lagging Darcy with leakage,6,0.24902036108114609,0.17778802817294953,1.3020201543974816,1.1951978580216271,,,
vertical leakage,Lagging Darcy with leakage,7,0.2927101226097554,0.2119316364577094,1.3607434872279587,1.2345260046353186,,,
vertical leakage,Lagging Darcy with leakage,8,0.2788845242030411,0.20025231460783,1.3468247905239623,1.2266552689383492,,,
vertical leakage,Lagging Darcy with leakage,9,0.2686347264098624,0.19205149972687457,1.3225421730505518,1.2113965913389029,,,
vertical leakage,Lagging Darcy with leakage,10,0.26015457280774296,0.18512118725248575,1.3008388327323155,1.197948126102655,0.07199547251141261,0.08173633488373748,True
